x	y	car_pre_dur
504667	2123497	6.326582566
504767	2123497	6.335704697
504867	2123497	6.344867612
504967	2123497	6.354071113
504067	2123597	6.25675052
504167	2123597	6.265647837
504267	2123597	6.274587146
504367	2123597	6.283568247
504467	2123597	6.292590935
504567	2123597	6.30165501
504667	2123597	6.310760272
504767	2123597	6.319906522
504867	2123597	6.32909356
504967	2123597	6.338321189
505067	2123597	6.347589213
505167	2123597	6.356897435
505267	2123597	6.36624566
503867	2123697	6.223085779
503967	2123697	6.231922633
504067	2123697	6.240801901
504167	2123697	6.249723376
504267	2123697	6.258686855
504367	2123697	6.267692133
504467	2123697	6.276739008
504567	2123697	6.285827277
504667	2123697	6.29495674
504767	2123697	6.304127195
504867	2123697	6.313338444
504967	2123697	6.322590287
505067	2123697	6.331882528
505167	2123697	6.341214968
505267	2123697	6.350587413
505367	2123697	6.359999667
505467	2123697	6.369451537
505567	2123697	6.378942828
503867	2123797	6.207107069
503967	2123797	6.215968151
504067	2123797	6.224871659
504167	2123797	6.233817385
504267	2123797	6.242805124
504367	2123797	6.251834671
504467	2123797	6.260905822
504567	2123797	6.270018374
504667	2123797	6.279172125
504767	2123797	6.288366874
504867	2123797	6.297602419
504967	2123797	6.306878563
505067	2123797	6.316195105
505167	2123797	6.325551849
505267	2123797	6.334948597
505367	2123797	6.344385154
505467	2123797	6.353861324
505567	2123797	6.363376914
505667	2123797	6.372931731
505767	2123797	6.382525581
503767	2123897	6.182303946
503867	2123897	6.191146707
503967	2123897	6.200032112
504067	2123897	6.208959953
504167	2123897	6.217930022
504267	2123897	6.226942113
504367	2123897	6.235996019
504467	2123897	6.245091536
504567	2123897	6.25422846
504667	2123897	6.263406587
504767	2123897	6.272625716
504867	2123897	6.281885646
504967	2123897	6.291186174
505067	2123897	6.300527103
505167	2123897	6.309908234
505267	2123897	6.319329369
505367	2123897	6.328790311
505467	2123897	6.338290865
505567	2123897	6.347830835
505667	2123897	6.357410027
505767	2123897	6.367028249
505867	2123897	6.376685308
505967	2123897	6.386381014
506067	2123897	6.396115175
506167	2123897	6.405887602
506267	2123897	6.415698107
506367	2123897	6.425546503
506467	2123897	6.435432602
506567	2123897	6.445356218
506667	2123897	6.455317168
506767	2123897	6.465315267
503667	2123997	6.157513387
503767	2123997	6.166337688
503867	2123997	6.175204854
503967	2123997	6.184114675
504067	2123997	6.193066942
504167	2123997	6.202061446
504267	2123997	6.21109798
504367	2123997	6.220176336
504467	2123997	6.229296309
504567	2123997	6.238457693
504667	2123997	6.247660286
504767	2123997	6.256903882
504867	2123997	6.266188281
504967	2123997	6.275513281
505067	2123997	6.284878682
505167	2123997	6.294284284
505267	2123997	6.303729888
505367	2123997	6.313215298
505467	2123997	6.322740316
505567	2123997	6.332304747
505667	2123997	6.341908395
505767	2123997	6.351551068
505867	2123997	6.361232572
505967	2123997	6.370952715
506067	2123997	6.380711306
506167	2123997	6.390508156
506267	2123997	6.400343074
506367	2123997	6.410215872
506467	2123997	6.420126364
506567	2123997	6.430074362
506667	2123997	6.440059681
506767	2123997	6.450082137
503567	2124097	6.132735514
503667	2124097	6.141541214
503767	2124097	6.150390004
503867	2124097	6.15928167
503967	2124097	6.168216001
504067	2124097	6.177192788
504167	2124097	6.186211819
504267	2124097	6.195272887
504367	2124097	6.204375784
504467	2124097	6.213520302
504567	2124097	6.222706236
504667	2124097	6.231933381
504767	2124097	6.241201533
504867	2124097	6.250510488
504967	2124097	6.259860044
505067	2124097	6.269250001
505167	2124097	6.278680158
505267	2124097	6.288150315
505367	2124097	6.297660274
505467	2124097	6.307209838
505567	2124097	6.316798811
505667	2124097	6.326426995
505767	2124097	6.336094198
505867	2124097	6.345800225
505967	2124097	6.355544883
506067	2124097	6.365327981
506167	2124097	6.375149328
506267	2124097	6.385008734
506367	2124097	6.39490601
506467	2124097	6.404840967
506567	2124097	6.41481342
506667	2124097	6.424823181
506767	2124097	6.434870066
503467	2124197	6.107970452
503567	2124197	6.11675741
503667	2124197	6.125587683
503767	2124197	6.134461057
503867	2124197	6.143377319
503967	2124197	6.152336254
504067	2124197	6.161337653
504167	2124197	6.170381304
504267	2124197	6.179466998
504367	2124197	6.188594525
504467	2124197	6.197763678
504567	2124197	6.206974251
504667	2124197	6.216226036
504767	2124197	6.22551883
504867	2124197	6.234852427
504967	2124197	6.244226626
505067	2124197	6.253641224
505167	2124197	6.263096019
505267	2124197	6.272590812
505367	2124197	6.282125403
505467	2124197	6.291699594
505567	2124197	6.301313188
505667	2124197	6.310965989
505767	2124197	6.3206578
505867	2124197	6.330388428
505967	2124197	6.340157678
506067	2124197	6.34996536
506167	2124197	6.35981128
506267	2124197	6.369695249
506367	2124197	6.379617076
506467	2124197	6.389576573
506567	2124197	6.399573552
506667	2124197	6.409607827
503367	2124297	6.083218326
503467	2124297	6.091986399
503567	2124297	6.100798016
503667	2124297	6.109652959
503767	2124297	6.118551014
503867	2124297	6.127491964
503967	2124297	6.136475598
504067	2124297	6.145501702
504167	2124297	6.154570065
504267	2124297	6.163680476
504367	2124297	6.172832724
504467	2124297	6.182026602
504567	2124297	6.191261902
504667	2124297	6.200538415
504767	2124297	6.209855938
504867	2124297	6.219214264
504967	2124297	6.22861319
505067	2124297	6.238052513
505167	2124297	6.247532031
505267	2124297	6.257051542
505367	2124297	6.266610847
505467	2124297	6.276209747
505567	2124297	6.285848043
505667	2124297	6.295525538
505767	2124297	6.305242037
505867	2124297	6.314997343
505967	2124297	6.324791263
506067	2124297	6.334623604
506167	2124297	6.344494173
506267	2124297	6.354402779
506367	2124297	6.364349232
506467	2124297	6.374333341
506567	2124297	6.384354919
506667	2124297	6.394413779
503267	2124397	6.058479264
503367	2124397	6.067228308
503467	2124397	6.076021126
503567	2124397	6.084857498
503667	2124397	6.093737208
503767	2124397	6.102660038
503867	2124397	6.111625773
503967	2124397	6.120634199
504067	2124397	6.129685102
504167	2124397	6.138778268
504267	2124397	6.147913487
504367	2124397	6.157090547
504467	2124397	6.166309239
504567	2124397	6.175569354
504667	2124397	6.184870684
504767	2124397	6.194213023
504867	2124397	6.203596164
504967	2124397	6.213019902
505067	2124397	6.222484035
505167	2124397	6.231988358
505267	2124397	6.24153267
505367	2124397	6.251116771
505467	2124397	6.26074046
505567	2124397	6.270403538
505667	2124397	6.280105808
505767	2124397	6.289847072
505867	2124397	6.299627135
505967	2124397	6.309445802
506067	2124397	6.319302878
506167	2124397	6.329198171
506267	2124397	6.339131488
506367	2124397	6.34910264
506467	2124397	6.359111434
506567	2124397	6.369157684
503067	2124497	6.025067756
503167	2124497	6.033753397
503267	2124497	6.042483265
503367	2124497	6.051257139
503467	2124497	6.060074799
503567	2124497	6.068936024
503667	2124497	6.077840596
503767	2124497	6.086788298
503867	2124497	6.095778913
503967	2124497	6.104812225
504067	2124497	6.113888018
504167	2124497	6.123006081
504267	2124497	6.132166199
504367	2124497	6.141368161
504467	2124497	6.150611757
504567	2124497	6.159896776
504667	2124497	6.16922301
504767	2124497	6.178590251
504867	2124497	6.187998292
504967	2124497	6.197446928
505067	2124497	6.206935955
505167	2124497	6.216465167
505267	2124497	6.226034363
505367	2124497	6.235643341
505467	2124497	6.2452919
505567	2124497	6.25497984
505667	2124497	6.264706963
505767	2124497	6.274473071
505867	2124497	6.284277968
505967	2124497	6.294121458
506067	2124497	6.304003345
506167	2124497	6.313923437
506267	2124497	6.32388154
506367	2124497	6.333877464
506467	2124497	6.343911017
506567	2124497	6.353982009
502967	2124597	6.000374773
503067	2124597	6.009040853
503167	2124597	6.017751397
503267	2124597	6.026506183
503367	2124597	6.035304987
503467	2124597	6.044147587
503567	2124597	6.053033763
503667	2124597	6.061963295
503767	2124597	6.070935964
503867	2124597	6.079951553
503967	2124597	6.089009844
504067	2124597	6.098110622
504167	2124597	6.107253672
504267	2124597	6.116438781
504367	2124597	6.125665735
504467	2124597	6.134934324
504567	2124597	6.144244335
504667	2124597	6.153595561
504767	2124597	6.162987791
504867	2124597	6.172420819
504967	2124597	6.181894437
505067	2124597	6.191408441
505167	2124597	6.200962626
505267	2124597	6.210556788
505367	2124597	6.220190724
505467	2124597	6.229864234
505567	2124597	6.239577116
505667	2124597	6.249329171
505767	2124597	6.259120202
505867	2124597	6.268950009
505967	2124597	6.278818398
506067	2124597	6.288725172
506167	2124597	6.298670138
506267	2124597	6.308653101
506367	2124597	6.31867387
506467	2124597	6.328732252
502667	2124697	5.958537688
502767	2124697	5.967093964
502867	2124697	5.9756954
502967	2124697	5.984341767
503067	2124697	5.993032838
503167	2124697	6.001768387
503267	2124697	6.01054819
503367	2124697	6.019372023
503467	2124697	6.028239662
503567	2124697	6.037150886
503667	2124697	6.046105474
