x	y	car_pre_inf
504667	2123497	5.532868601
504767	2123497	5.540700258
504867	2123497	5.548577244
504967	2123497	5.556499406
504067	2123597	5.471340916
504167	2123597	5.478916127
504267	2123597	5.48653765
504367	2123597	5.49420533
504467	2123597	5.501919016
504567	2123597	5.509678554
504667	2123597	5.517483791
504767	2123597	5.525334572
504867	2123597	5.533230746
504967	2123597	5.541172157
505067	2123597	5.549158652
505167	2123597	5.557190077
505267	2123597	5.565266278
503867	2123697	5.440810702
503967	2123697	5.448311492
504067	2123697	5.455858968
504167	2123697	5.463452976
504267	2123697	5.471093362
504367	2123697	5.478779973
504467	2123697	5.486512656
504567	2123697	5.494291255
504667	2123697	5.502115618
504767	2123697	5.50998559
504867	2123697	5.517901016
504967	2123697	5.525861741
505067	2123697	5.533867612
505167	2123697	5.541918472
505267	2123697	5.550014167
505367	2123697	5.558154543
505467	2123697	5.566339442
505567	2123697	5.574568711
503867	2123797	5.425307601
503967	2123797	5.432827115
504067	2123797	5.440393383
504167	2123797	5.448006252
504267	2123797	5.455665567
504367	2123797	5.463371174
504467	2123797	5.471122919
504567	2123797	5.478920645
504667	2123797	5.4867642
504767	2123797	5.494653426
504867	2123797	5.502588169
504967	2123797	5.510568274
505067	2123797	5.518593585
505167	2123797	5.526663946
505267	2123797	5.534779202
505367	2123797	5.542939195
505467	2123797	5.551143771
505567	2123797	5.559392773
505667	2123797	5.567686045
505767	2123797	5.576023429
503767	2123897	5.402329526
503867	2123897	5.409820849
503967	2123897	5.417359152
504067	2123897	5.424944278
504167	2123897	5.432576074
504267	2123897	5.440254383
504367	2123897	5.447979051
504467	2123897	5.455749923
504567	2123897	5.463566842
504667	2123897	5.471429653
504767	2123897	5.479338199
504867	2123897	5.487292325
504967	2123897	5.495291875
505067	2123897	5.503336691
505167	2123897	5.511426618
505267	2123897	5.519561498
505367	2123897	5.527741175
505467	2123897	5.535965492
505567	2123897	5.544234292
505667	2123897	5.552547417
505767	2123897	5.560904712
505867	2123897	5.569306017
505967	2123897	5.577751176
506067	2123897	5.586240032
506167	2123897	5.594772427
506267	2123897	5.603348203
506367	2123897	5.611967203
506467	2123897	5.62062927
506567	2123897	5.629334245
506667	2123897	5.638081971
506767	2123897	5.646872291
503667	2123997	5.379377553
503767	2123997	5.386840457
503867	2123997	5.394350564
503967	2123997	5.401907721
504067	2123997	5.409511771
504167	2123997	5.417162558
504267	2123997	5.424859927
504367	2123997	5.432603722
504467	2123997	5.440393786
504567	2123997	5.448229962
504667	2123997	5.456112095
504767	2123997	5.464040027
504867	2123997	5.472013601
504967	2123997	5.480032661
505067	2123997	5.488097048
505167	2123997	5.496206605
505267	2123997	5.504361176
505367	2123997	5.512560601
505467	2123997	5.520804725
505567	2123997	5.529093387
505667	2123997	5.537426432
505767	2123997	5.5458037
505867	2123997	5.554225034
505967	2123997	5.562690275
506067	2123997	5.571199265
506167	2123997	5.579751847
506267	2123997	5.58834786
506367	2123997	5.596987148
506467	2123997	5.605669552
506567	2123997	5.614394913
506667	2123997	5.623163074
506767	2123997	5.631973874
503567	2124097	5.356451975
503667	2124097	5.363886226
503767	2124097	5.371367907
503867	2124097	5.378896864
503967	2124097	5.38647294
504067	2124097	5.394095978
504167	2124097	5.401765823
504267	2124097	5.409482318
504367	2124097	5.417245305
504467	2124097	5.425054627
504567	2124097	5.432910127
504667	2124097	5.440811647
504767	2124097	5.44875903
504867	2124097	5.456752117
504967	2124097	5.464790752
505067	2124097	5.472874775
505167	2124097	5.481004029
505267	2124097	5.489178355
505367	2124097	5.497397594
