x	y	car_pre_sup
504667	2123497	2.191331853
504767	2123497	2.193465106
504867	2123497	2.195625052
504967	2123497	2.197811644
504067	2123597	2.171876322
504167	2123597	2.173854924
504267	2123597	2.175860551
504367	2123597	2.177893159
504467	2123597	2.179952704
504567	2123597	2.182039142
504667	2123597	2.184152428
504767	2123597	2.186292517
504867	2123597	2.188459363
504967	2123597	2.19065292
505067	2123597	2.19287314
505167	2123597	2.195119977
505267	2123597	2.197393381
503867	2123697	2.160774752
503967	2123697	2.162705526
504067	2123697	2.164663472
504167	2123697	2.166648545
504267	2123697	2.168660704
504367	2123697	2.170699907
504467	2123697	2.172766109
504567	2123697	2.174859266
504667	2123697	2.176979336
504767	2123697	2.179126272
504867	2123697	2.18130003
504967	2123697	2.183500564
505067	2123697	2.185727827
505167	2123697	2.187981772
505267	2123697	2.190262351
505367	2123697	2.192569515
505467	2123697	2.194903216
505567	2123697	2.197263402
503867	2123797	2.15355547
503967	2123797	2.155492605
504067	2123797	2.15745697
504167	2123797	2.159448525
504267	2123797	2.161467227
504367	2123797	2.163513035
504467	2123797	2.165585904
504567	2123797	2.167685793
504667	2123797	2.169812656
504767	2123797	2.171966451
504867	2123797	2.174147132
504967	2123797	2.176354654
505067	2123797	2.178588971
505167	2123797	2.180850037
505267	2123797	2.183137803
505367	2123797	2.185452222
505467	2123797	2.187793246
505567	2123797	2.190160823
505667	2123797	2.192554905
505767	2123797	2.194975438
503767	2123897	2.144426429
503867	2123897	2.146342602
503967	2123897	2.148286107
504067	2123897	2.150256903
504167	2123897	2.152254949
504267	2123897	2.154280203
504367	2123897	2.156332625
504467	2123897	2.158412172
504567	2123897	2.160518801
504667	2123897	2.162652469
504767	2123897	2.164813133
504867	2123897	2.167000748
504967	2123897	2.169215269
505067	2123897	2.171456652
505167	2123897	2.173724849
505267	2123897	2.176019815
505367	2123897	2.178341501
505467	2123897	2.18068986
505567	2123897	2.183064841
505667	2123897	2.185466396
505767	2123897	2.187894472
505867	2123897	2.190349019
505967	2123897	2.192829983
506067	2123897	2.19533731
506167	2123897	2.197870946
506267	2123897	2.200430835
506367	2123897	2.203016919
506467	2123897	2.205629141
506567	2123897	2.208267441
506667	2123897	2.210931759
506767	2123897	2.213622033
503667	2123997	2.135318683
503767	2123997	2.137213744
503867	2123997	2.139136236
503967	2123997	2.141086119
504067	2123997	2.143063354
504167	2123997	2.1450679
504267	2123997	2.147099717
504367	2123997	2.149158762
504467	2123997	2.151244995
504567	2123997	2.153358374
504667	2123997	2.155498856
504767	2123997	2.157666398
504867	2123997	2.159860957
504967	2123997	2.162082488
505067	2123997	2.164330946
505167	2123997	2.166606287
505267	2123997	2.168908463
505367	2123997	2.171237428
505467	2123997	2.173593134
505567	2123997	2.175975532
505667	2123997	2.178384572
505767	2123997	2.180820205
505867	2123997	2.183282379
505967	2123997	2.18577104
506067	2123997	2.188286137
506167	2123997	2.190827615
506267	2123997	2.193395417
506367	2123997	2.195989487
506467	2123997	2.198609768
506567	2123997	2.2012562
506667	2123997	2.203928724
506767	2123997	2.206627277
503567	2124097	2.126232512
503667	2124097	2.128106311
503767	2124097	2.13000764
503867	2124097	2.131936459
503967	2124097	2.13389273
504067	2124097	2.135876412
504167	2124097	2.137887466
504267	2124097	2.139925853
504367	2124097	2.14199153
504467	2124097	2.144084458
