x	y	car_pre_tot
504667	2123497	5.544109362
504767	2123497	5.554519087
504867	2123497	5.564972338
504967	2123497	5.575468868
504067	2123597	5.467143483
504167	2123597	5.477315415
504267	2123597	5.487532384
504367	2123597	5.497794139
504467	2123597	5.508100427
504567	2123597	5.518450999
504667	2123597	5.528845605
504767	2123597	5.539283995
504867	2123597	5.549765922
504967	2123597	5.560291138
505067	2123597	5.570859397
505167	2123597	5.581470454
505267	2123597	5.592124064
503867	2123697	5.431463736
503967	2123697	5.441573479
504067	2123697	5.45172879
504167	2123697	5.461929411
504267	2123697	5.47217509
504367	2123697	5.482465572
504467	2123697	5.492800604
504567	2123697	5.503179934
504667	2123697	5.513603311
504767	2123697	5.524070485
504867	2123697	5.534581206
504967	2123697	5.545135225
505067	2123697	5.555732295
505167	2123697	5.566372168
505267	2123697	5.577054598
505367	2123697	5.587779342
505467	2123697	5.598546153
505567	2123697	5.60935479
503867	2123797	5.416012386
503967	2123797	5.426150901
504067	2123797	5.436335005
504167	2123797	5.446564441
504267	2123797	5.456838952
504367	2123797	5.467158284
504467	2123797	5.477522181
504567	2123797	5.487930391
504667	2123797	5.498382659
504767	2123797	5.508878736
504867	2123797	5.519418368
504967	2123797	5.530001307
505067	2123797	5.540627303
505167	2123797	5.551296108
505267	2123797	5.562007474
505367	2123797	5.572761155
505467	2123797	5.583556905
505567	2123797	5.594394481
505667	2123797	5.605273637
505767	2123797	5.616194133
503767	2123897	5.390460326
503867	2123897	5.400581871
503967	2123897	5.410749284
504067	2123897	5.420962308
504167	2123897	5.431220682
504267	2123897	5.44152415
504367	2123897	5.451872454
504467	2123897	5.462265338
504567	2123897	5.472702548
504667	2123897	5.483183828
504767	2123897	5.493708926
504867	2123897	5.504277589
504967	2123897	5.514889565
505067	2123897	5.525544604
505167	2123897	5.536242456
505267	2123897	5.546982872
505367	2123897	5.557765605
505467	2123897	5.568590407
505567	2123897	5.579457033
505667	2123897	5.590365237
505767	2123897	5.601314777
505867	2123897	5.612305408
505967	2123897	5.623336889
506067	2123897	5.63440898
506167	2123897	5.64552144
506267	2123897	5.65667403
506367	2123897	5.667866514
506467	2123897	5.679098654
506567	2123897	5.690370214
506667	2123897	5.701680961
506767	2123897	5.71303066
503667	2123997	5.364917425
503767	2123997	5.375021821
503867	2123997	5.385172369
503967	2123997	5.395368808
504067	2123997	5.405610876
504167	2123997	5.415898314
504267	2123997	5.426230862
504367	2123997	5.436608261
504467	2123997	5.447030255
504567	2123997	5.457496586
504667	2123997	5.468006999
504767	2123997	5.478561238
504867	2123997	5.48915905
504967	2123997	5.499800181
505067	2123997	5.51048438
505167	2123997	5.521211395
505267	2123997	5.531980976
505367	2123997	5.542792874
505467	2123997	5.553646841
505567	2123997	5.56454263
505667	2123997	5.575479993
505767	2123997	5.586458687
505867	2123997	5.597478466
505967	2123997	5.608539088
506067	2123997	5.619640311
506167	2123997	5.630781893
506267	2123997	5.641963595
506367	2123997	5.653185178
506467	2123997	5.664446403
506567	2123997	5.675747035
506667	2123997	5.687086836
506767	2123997	5.698465574
503567	2124097	5.339383811
503667	2124097	5.349470876
503767	2124097	5.359604381
503867	2124097	5.36978406
503967	2124097	5.380009651
504067	2124097	5.390280891
504167	2124097	5.400597517
504267	2124097	5.41095927
504367	2124097	5.421365889
504467	2124097	5.431817114
504567	2124097	5.442312689
504667	2124097	5.452852354
504767	2124097	5.463435854
504867	2124097	5.474062934
504967	2124097	5.484733339
505067	2124097	5.495446814
505167	2124097	5.506203109
505267	2124097	5.51700197
505367	2124097	5.527843148
505467	2124097	5.538726393
505567	2124097	5.549651456
505667	2124097	5.56061809
505767	2124097	5.571626049
505867	2124097	5.582675086
505967	2124097	5.593764957
506067	2124097	5.604895419
506167	2124097	5.616066231
506267	2124097	5.627277149
506367	2124097	5.638527935
506467	2124097	5.64981835
506567	2124097	5.661148155
506667	2124097	5.672517114
506767	2124097	5.68392499
503467	2124197	5.313859614
503567	2124197	5.323929165
503667	2124197	5.334045445
503767	2124197	5.344208188
503867	2124197	5.354417127
503967	2124197	5.364671997
504067	2124197	5.374972535
504167	2124197	5.385318476
504267	2124197	5.395709558
504367	2124197	5.40614552
504467	2124197	5.4166261
504567	2124197	5.42715104
504667	2124197	5.437720079
504767	2124197	5.448332961
504867	2124197	5.458989428
504967	2124197	5.469689223
505067	2124197	5.480432093
505167	2124197	5.491217784
505267	2124197	5.502046041
505367	2124197	5.512916613
505467	2124197	5.523829249
505567	2124197	5.5347837
505667	2124197	5.545779716
505767	2124197	5.55681705
505867	2124197	5.567895454
505967	2124197	5.579014683
506067	2124197	5.590174493
506167	2124197	5.601374639
506267	2124197	5.612614881
506367	2124197	5.623894975
506467	2124197	5.635214682
506567	2124197	5.646573763
506667	2124197	5.657971981
503367	2124297	5.288344967
503467	2124297	5.298396816
503567	2124297	5.308495688
503667	2124297	5.318641314
503767	2124297	5.328833424
503867	2124297	5.339071752
503967	2124297	5.34935603
504067	2124297	5.359685992
504167	2124297	5.370061374
504267	2124297	5.380481911
504367	2124297	5.39094734
504467	2124297	5.401457399
504567	2124297	5.412011826
504667	2124297	5.422610361
504767	2124297	5.433252744
504867	2124297	5.443938717
504967	2124297	5.454668023
505067	2124297	5.465440405
505167	2124297	5.476255607
505267	2124297	5.487113376
505367	2124297	5.498013457
505467	2124297	5.508955599
505567	2124297	5.51993955
505667	2124297	5.530965059
505767	2124297	5.542031879
505867	2124297	5.55313976
505967	2124297	5.564288456
506067	2124297	5.57547772
506167	2124297	5.586707309
506267	2124297	5.597976978
506367	2124297	5.609286486
506467	2124297	5.62063559
506567	2124297	5.63202405
506667	2124297	5.643451627
503267	2124397	5.262840006
503367	2124397	5.272873963
503467	2124397	5.282955241
503567	2124397	5.293083566
503667	2124397	5.303258668
503767	2124397	5.313480276
503867	2124397	5.323748121
503967	2124397	5.334061935
504067	2124397	5.34442145
504167	2124397	5.354826398
504267	2124397	5.365276516
504367	2124397	5.375771537
504467	2124397	5.386311197
504567	2124397	5.396895235
504667	2124397	5.407523387
504767	2124397	5.418195393
504867	2124397	5.428910993
504967	2124397	5.439669927
505067	2124397	5.450471939
505167	2124397	5.46131677
505267	2124397	5.472204166
505367	2124397	5.483133871
505467	2124397	5.494105632
505567	2124397	5.505119195
505667	2124397	5.516174311
505767	2124397	5.527270727
505867	2124397	5.538408195
505967	2124397	5.549586466
506067	2124397	5.560805293
506167	2124397	5.572064431
506267	2124397	5.583363634
506367	2124397	5.594702659
506467	2124397	5.606081264
506567	2124397	5.617499205
503067	2124497	5.22737689
503167	2124497	5.237344867
503267	2124497	5.24736074
503367	2124497	5.257424233
503467	2124497	5.267535072
503567	2124497	5.277692983
503667	2124497	5.287897692
503767	2124497	5.298148929
503867	2124497	5.308446422
503967	2124497	5.3187899
504067	2124497	5.329179095
504167	2124497	5.339613738
504267	2124497	5.350093562
504367	2124497	5.360618299
504467	2124497	5.371187686
504567	2124497	5.381801457
504667	2124497	5.392459348
504767	2124497	5.403161098
504867	2124497	5.413906444
504967	2124497	5.424695126
505067	2124497	5.435526885
505167	2124497	5.446401463
505267	2124497	5.457318602
505367	2124497	5.468278046
