x	y	coe_com_dur
504667	2123497	0.369582297
504767	2123497	0.370141882
504867	2123497	0.370703319
504967	2123497	0.371266602
504067	2123597	0.365511401
504167	2123597	0.366060585
504267	2123597	0.366611654
504367	2123597	0.367164602
504467	2123597	0.367719426
504567	2123597	0.36827612
504667	2123597	0.368834681
504767	2123597	0.369395104
504867	2123597	0.369957383
504967	2123597	0.370521514
505067	2123597	0.371087493
505167	2123597	0.371655313
505267	2123597	0.37222497
503867	2123697	0.363665401
503967	2123697	0.364211601
504067	2123697	0.364759698
504167	2123697	0.36530969
504267	2123697	0.365861572
504367	2123697	0.366415339
504467	2123697	0.366970986
504567	2123697	0.36752851
504667	2123697	0.368087905
504767	2123697	0.368649167
504867	2123697	0.369212291
504967	2123697	0.369777272
505067	2123697	0.370344105
505167	2123697	0.370912785
505267	2123697	0.371483307
505367	2123697	0.372055665
505467	2123697	0.372629854
505567	2123697	0.37320587
503867	2123797	0.362912926
503967	2123797	0.363459924
504067	2123797	0.364008825
504167	2123797	0.364559626
504267	2123797	0.365112322
504367	2123797	0.365666909
504467	2123797	0.366223383
504567	2123797	0.366781738
504667	2123797	0.367341969
504767	2123797	0.367904073
504867	2123797	0.368468044
504967	2123797	0.369033877
505067	2123797	0.369601568
505167	2123797	0.37017111
505267	2123797	0.370742498
505367	2123797	0.371315729
505467	2123797	0.371890795
505567	2123797	0.372467691
505667	2123797	0.373046413
505767	2123797	0.373626954
503767	2123897	0.361615394
503867	2123897	0.362161277
503967	2123897	0.362709074
504067	2123897	0.363258781
504167	2123897	0.363810393
504267	2123897	0.364363906
504367	2123897	0.364919315
504467	2123897	0.365476616
504567	2123897	0.366035804
504667	2123897	0.366596875
504767	2123897	0.367159823
504867	2123897	0.367724643
504967	2123897	0.368291331
505067	2123897	0.36885988
505167	2123897	0.369430287
505267	2123897	0.370002545
505367	2123897	0.37057665
505467	2123897	0.371152595
505567	2123897	0.371730376
505667	2123897	0.372309987
505767	2123897	0.372891421
505867	2123897	0.373474674
505967	2123897	0.374059739
506067	2123897	0.374646612
