x	y	coe_com_inf
504667	2123497	2.470417519
504767	2123497	2.474720743
504867	2123497	2.479036908
504967	2123497	2.483365947
504067	2123597	2.439243281
504167	2123597	2.443477104
504267	2123597	2.447724275
504367	2123597	2.451984724
504467	2123597	2.456258383
504567	2123597	2.460545182
504667	2123597	2.464845054
504767	2123597	2.46915793
504867	2123597	2.473483742
504967	2123597	2.477822423
505067	2123597	2.482173905
505167	2123597	2.486538122
505267	2123597	2.490915005
503867	2123697	2.42517393
503967	2123697	2.429390555
504067	2123697	2.433620665
504167	2123697	2.43786419
504267	2123697	2.442121059
504367	2123697	2.446391204
504467	2123697	2.450674556
504567	2123697	2.454971045
504667	2123697	2.459280602
504767	2123697	2.463603159
504867	2123697	2.467938647
504967	2123697	2.472287
505067	2123697	2.476648148
505167	2123697	2.481022026
505267	2123697	2.485408565
505367	2123697	2.489807698
505467	2123697	2.49421936
505567	2123697	2.498643483
503867	2123797	2.419539726
503967	2123797	2.423766088
504067	2123797	2.428005933
504167	2123797	2.432259191
504267	2123797	2.43652579
504367	2123797	2.440805662
504467	2123797	2.445098736
504567	2123797	2.449404944
504667	2123797	2.453724216
504767	2123797	2.458056483
504867	2123797	2.462401678
504967	2123797	2.466759731
505067	2123797	2.471130574
505167	2123797	2.475514141
505267	2123797	2.479910364
505367	2123797	2.484319175
505467	2123797	2.488740508
505567	2123797	2.493174295
505667	2123797	2.497620472
505767	2123797	2.502078971
503767	2123897	2.409690818
503867	2123897	2.413913398
503967	2123897	2.41814953
504067	2123897	2.422399142
504167	2123897	2.426662163
504267	2123897	2.430938523
504367	2123897	2.435228151
504467	2123897	2.439530979
504567	2123897	2.443846935
504667	2123897	2.448175952
504767	2123897	2.452517959
504867	2123897	2.456872888
504967	2123897	2.461240671
505067	2123897	2.465621238
505167	2123897	2.470014523
505267	2123897	2.474420458
505367	2123897	2.478838974
505467	2123897	2.483270005
505567	2123897	2.487713485
505667	2123897	2.492169346
505767	2123897	2.496637523
505867	2123897	2.501117948
505967	2123897	2.505610558
506067	2123897	2.510115285
506167	2123897	2.514632066
506267	2123897	2.519160835
506367	2123897	2.523701527
506467	2123897	2.528254079
506567	2123897	2.532818427
506667	2123897	2.537394507
506767	2123897	2.541982255
503667	2123997	2.399843856
503767	2123997	2.40406262
503867	2123997	2.408295004
503967	2123997	2.412540936
504067	2123997	2.416800345
504167	2123997	2.42107316
504267	2123997	2.425359311
504367	2123997	2.429658727
504467	2123997	2.433971338
504567	2123997	2.438297073
504667	2123997	2.442635864
504767	2123997	2.446987641
504867	2123997	2.451352334
504967	2123997	2.455729875
505067	2123997	2.460120195
505167	2123997	2.464523226
505267	2123997	2.468938901
505367	2123997	2.473367151
505467	2123997	2.477807909
505567	2123997	2.482261108
505667	2123997	2.48672668
505767	2123997	2.491204561
505867	2123997	2.495694683
