x	y	coe_com_sup
504667	2123497	0.728886755
504767	2123497	0.725567343
504867	2123497	0.722268603
504967	2123497	0.718991315
504067	2123597	0.750508742
504167	2123597	0.747039315
504267	2123597	0.743585976
504367	2123597	0.74014957
504467	2123597	0.736730937
504567	2123597	0.733330907
504667	2123597	0.729950302
504767	2123597	0.726589934
504867	2123597	0.723250606
504967	2123597	0.719933111
505067	2123597	0.716638232
505167	2123597	0.713366739
505267	2123597	0.710119392
503867	2123697	0.758904828
503967	2123697	0.755361854
504067	2123697	0.751833509
504167	2123697	0.748320669
504267	2123697	0.744824203
504367	2123697	0.741344973
504467	2123697	0.737883832
504567	2123697	0.734441625
504667	2123697	0.731019188
504767	2123697	0.727617348
504867	2123697	0.724236922
504967	2123697	0.720878717
505067	2123697	0.717543529
505167	2123697	0.714232142
505267	2123697	0.710945331
505367	2123697	0.707683857
505467	2123697	0.704448468
505567	2123697	0.7012399
503867	2123797	0.760326963
503967	2123797	0.756739483
504067	2123797	0.753166893
504167	2123797	0.749610084
504267	2123797	0.746069941
504367	2123797	0.742547339
504467	2123797	0.739043148
504567	2123797	0.735558227
504667	2123797	0.732093427
504767	2123797	0.72864959
504867	2123797	0.725227548
504967	2123797	0.72182812
505067	2123797	0.718452119
505167	2123797	0.715100342
505267	2123797	0.711773576
505367	2123797	0.708472597
505467	2123797	0.705198166
505567	2123797	0.701951033
505667	2123797	0.698731934
505767	2123797	0.695541589
503767	2123897	0.765405725
503867	2123897	0.761758926
503967	2123897	0.758126368
504067	2123897	0.754508964
504167	2123897	0.750907621
504267	2123897	0.747323239
504367	2123897	0.743756709
504467	2123897	0.740208917
504567	2123897	0.736680737
504667	2123897	0.733173035
504767	2123897	0.729686667
504867	2123897	0.726222481
504967	2123897	0.722781311
505067	2123897	0.719363983
505167	2123897	0.71597131
505267	2123897	0.712604092
505367	2123897	0.709263119
505467	2123897	0.705949166
505567	2123897	0.702662996
505667	2123897	0.699405356
505767	2123897	0.696176982
505867	2123897	0.692978593
505967	2123897	0.689810894
506067	2123897	0.686674573
506167	2123897	0.683570304
506267	2123897	0.680498743
506367	2123897	0.67746053
506467	2123897	0.67445629
506567	2123897	0.671486627
506667	2123897	0.668552131
506767	2123897	0.66565337
503667	2123997	0.770599784
503767	2123997	0.766893518
503867	2123997	0.763200807
503967	2123997	0.759522589
504067	2123997	0.755859793
504167	2123997	0.752213341
504267	2123997	0.748584151
504367	2123997	0.744973129
504467	2123997	0.741381176
504567	2123997	0.737809182
504667	2123997	0.734258029
504767	2123997	0.730728588
504867	2123997	0.727221722
504967	2123997	0.723738282
505067	2123997	0.720279105
505167	2123997	0.716845022
505267	2123997	0.713436846
505367	2123997	0.710055381
505467	2123997	0.706701417
505567	2123997	0.703375729
505667	2123997	0.70007908
505767	2123997	0.696812216
505867	2123997	0.69357587
505967	2123997	0.690370759
506067	2123997	0.687197584
506167	2123997	0.684057029
506267	2123997	0.680949763
506367	2123997	0.677876438
506467	2123997	0.674837685
506567	2123997	0.671834122
506667	2123997	0.668866347
506767	2123997	0.665934938
503567	2124097	0.775910775
503667	2124097	0.772144928
503767	2124097	0.768391916
503867	2124097	0.764652699
503967	2124097	0.76092823
504067	2124097	0.757219454
504167	2124097	0.753527311
504267	2124097	0.749852734
504367	2124097	0.746196645
504467	2124097	0.742559962
504567	2124097	0.73894359
504667	2124097	0.735348429
504767	2124097	0.731775364
504867	2124097	0.728225274
504967	2124097	0.724699024
505067	2124097	0.721197469
505167	2124097	0.717721453
505267	2124097	0.714271805
505367	2124097	0.710849343
505467	2124097	0.70745487
505567	2124097	0.704089177
505667	2124097	0.700753039
505767	2124097	0.697447216
505867	2124097	0.694172455
505967	2124097	0.690929485
506067	2124097	0.687719019
506167	2124097	0.684541754
506267	2124097	0.681398369
506367	2124097	0.678289527
506467	2124097	0.675215873
506567	2124097	0.672178032
506667	2124097	0.669176612
506767	2124097	0.666212202
503467	2124197	0.781340318
503567	2124197	0.777514813
503667	2124197	0.77370139
503767	2124197	0.769901027
503867	2124197	0.7661147
503967	2124197	0.762343379
504067	2124197	0.758588027
504167	2124197	0.7548496
504267	2124197	0.751129046
504367	2124197	0.747427307
504467	2124197	0.743745316
504567	2124197	0.740083994
504667	2124197	0.736444257
504767	2124197	0.732827007
504867	2124197	0.729233139
504967	2124197	0.725663533
505067	2124197	0.722119061
505167	2124197	0.71860058
505267	2124197	0.715108937
505367	2124197	0.711644962
505467	2124197	0.708209476
505567	2124197	0.704803281
505667	2124197	0.701427168
505767	2124197	0.698081912
505867	2124197	0.69476827
505967	2124197	0.691486985
506067	2124197	0.688238784
506167	2124197	0.685024376
506267	2124197	0.681844452
506367	2124197	0.678699685
506467	2124197	0.675590732
506567	2124197	0.672518229
506667	2124197	0.669482793
503367	2124297	0.786890014
503467	2124297	0.783004818
503567	2124297	0.77913091
503667	2124297	0.775269291
503767	2124297	0.77142096
503867	2124297	0.76758691
503967	2124297	0.763768128
504067	2124297	0.759965593
504167	2124297	0.756180279
504267	2124297	0.752413152
504367	2124297	0.748665169
504467	2124297	0.744937281
504567	2124297	0.741230427
504667	2124297	0.737545537
504767	2124297	0.733883533
