x	y	coe_com_tot
504667	2123497	8.829904837
504767	2123497	8.844605961
504867	2123497	8.859355942
504967	2123497	8.874154536
504067	2123597	8.722060879
504167	2123597	8.736497693
504267	2123597	8.750984874
504367	2123597	8.76552217
504467	2123597	8.780109328
504567	2123597	8.794746099
504667	2123597	8.809432232
504767	2123597	8.824167478
504867	2123597	8.838951588
504967	2123597	8.853784314
505067	2123597	8.868665409
505167	2123597	8.883594627
505267	2123597	8.898571723
503867	2123697	8.672618127
503967	2123697	8.686987605
504067	2123697	8.701407973
504167	2123697	8.715878974
504267	2123697	8.730400355
504367	2123697	8.744971863
504467	2123697	8.759593244
504567	2123697	8.774264246
504667	2123697	8.788984617
504767	2123697	8.803754108
504867	2123697	8.818572468
504967	2123697	8.833439447
505067	2123697	8.848354798
505167	2123697	8.863318273
505267	2123697	8.878329626
505367	2123697	8.893388609
505467	2123697	8.908494979
505567	2123697	8.923648491
503867	2123797	8.651921044
503967	2123797	8.666324809
504067	2123797	8.680779478
504167	2123797	8.695284794
504267	2123797	8.709840503
504367	2123797	8.724446349
504467	2123797	8.739102077
504567	2123797	8.753807435
504667	2123797	8.768562169
504767	2123797	8.783366027
504867	2123797	8.798218759
504967	2123797	8.813120113
505067	2123797	8.828069841
505167	2123797	8.843067692
505267	2123797	8.85811342
505367	2123797	8.873206777
505467	2123797	8.888347517
505567	2123797	8.903535393
505667	2123797	8.918770163
505767	2123797	8.934051581
503767	2123897	8.616861287
503867	2123897	8.63124829
503967	2123897	8.645686471
504067	2123897	8.66017557
504167	2123897	8.67471533
504267	2123897	8.689305493
504367	2123897	8.703945803
504467	2123897	8.718636005
504567	2123897	8.733375843
504667	2123897	8.748165064
504767	2123897	8.763003414
504867	2123897	8.77789064
504967	2123897	8.792826491
505067	2123897	8.807810715
505167	2123897	8.822843064
505267	2123897	8.837923286
505367	2123897	8.853051135
505467	2123897	8.868226362
505567	2123897	8.88344872
505667	2123897	8.898717965
505767	2123897	8.91403385
505867	2123897	8.929396133
505967	2123897	8.944804568
506067	2123897	8.960258916
506167	2123897	8.975758933
506267	2123897	8.991304381
506367	2123897	9.006895018
506467	2123897	9.022530607
506567	2123897	9.03821091
506667	2123897	9.053935691
506767	2123897	9.069704713
503667	2123997	8.581808424
503767	2123997	8.596178505
503867	2123997	8.61060004
503967	2123997	8.625072767
504067	2123997	8.639596425
504167	2123997	8.654170757
504267	2123997	8.668795502
504367	2123997	8.683470404
504467	2123997	8.698195206
504567	2123997	8.71296965
504667	2123997	8.727793482
504767	2123997	8.742666446
504867	2123997	8.75758829
504967	2123997	8.772558759
505067	2123997	8.787577602
505167	2123997	8.802644567
505267	2123997	8.817759404
505367	2123997	8.832921863
505467	2123997	8.848131695
505567	2123997	8.863388653
505667	2123997	8.878692489
505767	2123997	8.894042956
505867	2123997	8.909439811
505967	2123997	8.924882809
506067	2123997	8.940371705
506167	2123997	8.955906259
506267	2123997	8.971486227
506367	2123997	8.987111371
506467	2123997	9.002781449
506567	2123997	9.018496224
506667	2123997	9.034255457
506767	2123997	9.050058912
503567	2124097	8.546762549
503667	2124097	8.561115546
503767	2124097	8.575520274
503867	2124097	8.589976471
503967	2124097	8.604483874
504067	2124097	8.619042223
504167	2124097	8.633651255
504267	2124097	8.648310711
504367	2124097	8.663020332
504467	2124097	8.677779859
504567	2124097	8.692589035
504667	2124097	8.707447603
504767	2124097	8.722355306
504867	2124097	8.737311891
504967	2124097	8.752317101
505067	2124097	8.767370684
505167	2124097	8.782472386
505267	2124097	8.797621957
505367	2124097	8.812819145
505467	2124097	8.828063701
505567	2124097	8.843355374
505667	2124097	8.858693918
505767	2124097	8.874079083
505867	2124097	8.889510625
505967	2124097	8.904988298
506067	2124097	8.920511856
506167	2124097	8.936081057
506267	2124097	8.951695658
506367	2124097	8.967355418
506467	2124097	8.983060094
506567	2124097	8.998809449
506667	2124097	9.014603243
506767	2124097	9.030441237
503467	2124197	8.511723757
503567	2124197	8.526059504
503667	2124197	8.540447264
503767	2124197	8.554886771
503867	2124197	8.569377763
503967	2124197	8.583919974
504067	2124197	8.598513141
504167	2124197	8.613157003
504267	2124197	8.627851299
504367	2124197	8.642595766
504467	2124197	8.657390147
504567	2124197	8.67223418
504667	2124197	8.687127609
504767	2124197	8.702070176
504867	2124197	8.717061624
504967	2124197	8.732101698
505067	2124197	8.747190143
505167	2124197	8.762326704
505267	2124197	8.777511129
505367	2124197	8.792743166
505467	2124197	8.808022563
505567	2124197	8.823349069
505667	2124197	8.838722437
505767	2124197	8.854142416
505867	2124197	8.86960876
505967	2124197	8.885121221
506067	2124197	8.900679555
506167	2124197	8.916283516
506267	2124197	8.93193286
506367	2124197	8.947627346
506467	2124197	8.96336673
506567	2124197	8.979150773
506667	2124197	8.994979235
503367	2124297	8.476692145
503467	2124297	8.491010474
503567	2124297	8.5053811
503667	2124297	8.519803757
503767	2124297	8.534278177
503867	2124297	8.548804095
503967	2124297	8.563381245
504067	2124297	8.578009363
504167	2124297	8.592688185
504267	2124297	8.607417448
504367	2124297	8.622196891
504467	2124297	8.637026251
504567	2124297	8.651905269
504667	2124297	8.666833685
504767	2124297	8.68181124
504867	2124297	8.696837676
504967	2124297	8.711912736
505067	2124297	8.727036164
505167	2124297	8.742207706
505267	2124297	8.757427105
505367	2124297	8.77269411
505467	2124297	8.788008467
505567	2124297	8.803369925
505667	2124297	8.818778233
505767	2124297	8.834233141
505867	2124297	8.849734402
505967	2124297	8.865281766
506067	2124297	8.880874988
506167	2124297	8.896513821
506267	2124297	8.912198021
506367	2124297	8.927927343
506467	2124297	8.943701545
506567	2124297	8.959520384
506667	2124297	8.975383621
503267	2124397	8.441667811
503367	2124397	8.455968552
503467	2124397	8.470321878
503567	2124397	8.484727519
503667	2124397	8.499185207
503767	2124397	8.513694673
503867	2124397	8.52825565
503967	2124397	8.542867871
504067	2124397	8.55753107
504167	2124397	8.572244982
504267	2124397	8.587009343
