x	y	error_car_pre_dur
504667	2123497	1.608312918
504767	2123497	1.610835191
504867	2123497	1.613367184
504967	2123497	1.615908846
504067	2123597	1.58947253
504167	2123597	1.591941867
504267	2123597	1.594421234
504367	2123597	1.596910579
504467	2123597	1.599409849
504567	2123597	1.601918991
504667	2123597	1.604437952
504767	2123597	1.60696668
504867	2123597	1.609505123
504967	2123597	1.612053229
505067	2123597	1.614610948
505167	2123597	1.617178227
505267	2123597	1.619755016
503867	2123697	1.580643005
503967	2123697	1.58309863
504067	2123697	1.58556439
504167	2123697	1.588040231
504267	2123697	1.590526099
504367	2123697	1.59302194
504467	2123697	1.5955277
504567	2123697	1.598043327
504667	2123697	1.600568768
504767	2123697	1.60310397
504867	2123697	1.605648882
504967	2123697	1.608203451
505067	2123697	1.610767626
505167	2123697	1.613341356
505267	2123697	1.61592459
505367	2123697	1.618517277
505467	2123697	1.621119367
505567	2123697	1.62373081
503867	2123797	1.57672751
503967	2123797	1.579189669
504067	2123797	1.581661959
504167	2123797	1.584144325
504267	2123797	1.586636713
504367	2123797	1.589139069
504467	2123797	1.59165134
504567	2123797	1.594173472
504667	2123797	1.596705412
504767	2123797	1.599247108
504867	2123797	1.601798507
504967	2123797	1.604359557
505067	2123797	1.606930208
505167	2123797	1.609510406
505267	2123797	1.612100102
505367	2123797	1.614699244
505467	2123797	1.617307783
505567	2123797	1.619925667
505667	2123797	1.622552848
505767	2123797	1.625189275
503767	2123897	1.570359196
503867	2123897	1.572817729
503967	2123897	1.575286444
504067	2123897	1.577765284
504167	2123897	1.580254196
504267	2123897	1.582753125
504367	2123897	1.585262016
504467	2123897	1.587780817
504567	2123897	1.590309473
504667	2123897	1.592847931
504767	2123897	1.59539614
504867	2123897	1.597954045
504967	2123897	1.600521595
505067	2123897	1.603098739
505167	2123897	1.605685424
505267	2123897	1.6082816
505367	2123897	1.610887215
505467	2123897	1.613502219
505567	2123897	1.616126562
505667	2123897	1.618760193
505767	2123897	1.621403064
505867	2123897	1.624055124
