x	y	error_car_pre_inf
504667	2123497	0.951721062
504767	2123497	0.952265464
504867	2123497	0.952817921
504967	2123497	0.953378422
504067	2123597	0.946259804
504167	2123597	0.946756144
504267	2123597	0.947260632
504367	2123597	0.947773259
504467	2123597	0.948294017
504567	2123597	0.948822894
504667	2123597	0.949359882
504767	2123597	0.94990497
504867	2123597	0.950458147
504967	2123597	0.951019403
505067	2123597	0.951588726
505167	2123597	0.952166104
505267	2123597	0.952751526
503867	2123697	0.942925825
503967	2123697	0.943406257
504067	2123697	0.94389489
504167	2123697	0.944391716
504267	2123697	0.944896726
504367	2123697	0.945409911
504467	2123697	0.945931262
504567	2123697	0.946460768
504667	2123697	0.94699842
504767	2123697	0.947544206
504867	2123697	0.948098117
504967	2123697	0.94866014
505067	2123697	0.949230265
505167	2123697	0.949808478
505267	2123697	0.950394768
505367	2123697	0.950989122
505467	2123697	0.951591527
505567	2123697	0.95220197
503867	2123797	0.940559671
503967	2123797	0.941040526
504067	2123797	0.94152962
504167	2123797	0.942026943
504267	2123797	0.942532487
504367	2123797	0.943046241
504467	2123797	0.943568197
504567	2123797	0.944098345
504667	2123797	0.944636673
504767	2123797	0.945183171
504867	2123797	0.945737827
504967	2123797	0.946300631
505067	2123797	0.946871569
505167	2123797	0.947450631
505267	2123797	0.948037803
505367	2123797	0.948633071
505467	2123797	0.949236424
505567	2123797	0.949847848
505667	2123797	0.950467328
505767	2123797	0.95109485
503767	2123897	0.937720128
503867	2123897	0.938193134
503967	2123897	0.938674424
504067	2123897	0.939163989
504167	2123897	0.939661821
504267	2123897	0.94016791
504367	2123897	0.940682246
504467	2123897	0.94120482
504567	2123897	0.94173562
504667	2123897	0.942274637
504767	2123897	0.942821859
504867	2123897	0.943377274
504967	2123897	0.943940871
505067	2123897	0.944512638
505167	2123897	0.945092561
505267	2123897	0.945680628
505367	2123897	0.946276825
505467	2123897	0.94688114
505567	2123897	0.947493558
505667	2123897	0.948114065
505767	2123897	0.948742646
505867	2123897	0.949379287
505967	2123897	0.950023973
506067	2123897	0.950676688
506167	2123897	0.951337417
506267	2123897	0.952006144
506367	2123897	0.952682852
506467	2123897	0.953367525
506567	2123897	0.954060147
506667	2123897	0.9547607
506767	2123897	0.955469167
503667	2123997	0.934887709
503767	2123997	0.935352794
503867	2123997	0.935826209
503967	2123997	0.936307945
504067	2123997	0.936797993
504167	2123997	0.937296345
504267	2123997	0.937802991
504367	2123997	0.938317922
504467	2123997	0.938841125
504567	2123997	0.939372592
504667	2123997	0.93991231
504767	2123997	0.940460269
504867	2123997	0.941016456
504967	2123997	0.94158086
505067	2123997	0.942153467
505167	2123997	0.942734266
505267	2123997	0.943323242
505367	2123997	0.943920382
505467	2123997	0.944525672
505567	2123997	0.945139099
505667	2123997	0.945760647
505767	2123997	0.946390302
505867	2123997	0.947028049
505967	2123997	0.947673873
506067	2123997	0.948327757
506167	2123997	0.948989686
506267	2123997	0.949659643
506367	2123997	0.950337613
506467	2123997	0.951023578
506567	2123997	0.951717522
506667	2123997	0.952419426
506767	2123997	0.953129274
503567	2124097	0.932062499
503667	2124097	0.932519589
503767	2124097	0.932985055
503867	2124097	0.93345889
503967	2124097	0.933941083
504067	2124097	0.934431627
504167	2124097	0.934930512
504267	2124097	0.935437727
504367	2124097	0.935953264
504467	2124097	0.93647711
504567	2124097	0.937009256
504667	2124097	0.937549689
504767	2124097	0.938098398
504867	2124097	0.93865537
504967	2124097	0.939220594
505067	2124097	0.939794056
505167	2124097	0.940375744
505267	2124097	0.940965643
505367	2124097	0.94156374
505467	2124097	0.94217002
505567	2124097	0.94278447
505667	2124097	0.943407075
505767	2124097	0.944037818
505867	2124097	0.944676686
505967	2124097	0.945323662
506067	2124097	0.94597873
506167	2124097	0.946641874
506267	2124097	0.947313078
506367	2124097	0.947992325
506467	2124097	0.948679598
506567	2124097	0.949374879
506667	2124097	0.950078151
506767	2124097	0.950789396
503467	2124197	0.929244582
503567	2124197	0.929693603
503667	2124197	0.930151047
503767	2124197	0.930616906
503867	2124197	0.931091171
503967	2124197	0.931573835
504067	2124197	0.932064886
504167	2124197	0.932564315
504267	2124197	0.933072113
504367	2124197	0.933588269
504467	2124197	0.934112771
504567	2124197	0.934645608
504667	2124197	0.935186769
504767	2124197	0.935736242
504867	2124197	0.936294014
504967	2124197	0.936860071
505067	2124197	0.937434403
505167	2124197	0.938016993
505267	2124197	0.93860783
505367	2124197	0.939206898
505467	2124197	0.939814183
505567	2124197	0.940429671
505667	2124197	0.941053347
505767	2124197	0.941685194
505867	2124197	0.942325197
505967	2124197	0.942973341
506067	2124197	0.943629609
506167	2124197	0.944293984
506267	2124197	0.94496645
506367	2124197	0.94564699
506467	2124197	0.946335585
506567	2124197	0.94703222
506667	2124197	0.947736875
503367	2124297	0.926434042
503467	2124297	0.92687492
503567	2124297	0.927324267
503667	2124297	0.927782077
503767	2124297	0.928248341
503867	2124297	0.92872305
503967	2124297	0.929206194
504067	2124297	0.929697765
504167	2124297	0.930197753
504267	2124297	0.930706145
504367	2124297	0.931222933
504467	2124297	0.931748104
504567	2124297	0.932281647
504667	2124297	0.932823549
504767	2124297	0.933373799
504867	2124297	0.933932384
504967	2124297	0.93449929
505067	2124297	0.935074504
505167	2124297	0.935658013
505267	2124297	0.936249801
505367	2124297	0.936849856
505467	2124297	0.937458161
505567	2124297	0.938074702
505667	2124297	0.938699463
505767	2124297	0.939332429
505867	2124297	0.939973583
505967	2124297	0.940622911
506067	2124297	0.941280393
506167	2124297	0.941946015
506267	2124297	0.942619759
506367	2124297	0.943301607
506467	2124297	0.943991543
506567	2124297	0.944689547
506667	2124297	0.945395601
503267	2124397	0.923630968
503367	2124397	0.924063626
503467	2124397	0.924504801
503567	2124397	0.924954486
503667	2124397	0.925412674
503767	2124397	0.925879354
503867	2124397	0.926354519
503967	2124397	0.926838158
504067	2124397	0.927330261
504167	2124397	0.927830819
504267	2124397	0.92833982
504367	2124397	0.928857253
504467	2124397	0.929383106
504567	2124397	0.929917368
504667	2124397	0.930460026
504767	2124397	0.931011068
504867	2124397	0.931570479
504967	2124397	0.932138248
505067	2124397	0.93271436
505167	2124397	0.933298801
505267	2124397	0.933891556
505367	2124397	0.934492611
505467	2124397	0.935101951
505567	2124397	0.93571956
505667	2124397	0.936345423
505767	2124397	0.936979523
505867	2124397	0.937621845
505967	2124397	0.938272371
506067	2124397	0.938931085
506167	2124397	0.939597969
506267	2124397	0.940273007
506367	2124397	0.94095618
506467	2124397	0.941647471
506567	2124397	0.942346861
503067	2124497	0.920419661
503167	2124497	0.920835448
503267	2124497	0.921259808
503367	2124497	0.921692734
503467	2124497	0.922134219
503567	2124497	0.922584255
503667	2124497	0.923042832
503767	2124497	0.923509941
503867	2124497	0.923985574
503967	2124497	0.92446972
504067	2124497	0.924962369
504167	2124497	0.92546351
504267	2124497	0.925973133
504367	2124497	0.926491225
504467	2124497	0.927017774
504567	2124497	0.927552769
504667	2124497	0.928096197
504767	2124497	0.928648044
504867	2124497	0.929208298
504967	2124497	0.929776943
505067	2124497	0.930353968
505167	2124497	0.930939356
505267	2124497	0.931533093
505367	2124497	0.932135165
505467	2124497	0.932745555
505567	2124497	0.933364248
505667	2124497	0.933991227
505767	2124497	0.934626478
505867	2124497	0.935269982
505967	2124497	0.935921723
506067	2124497	0.936581684
506167	2124497	0.937249848
506267	2124497	0.937926195
506367	2124497	0.93861071
506467	2124497	0.939303373
506567	2124497	0.940004165
502967	2124597	0.917640205
503067	2124597	0.918047569
503167	2124597	0.918463555
503267	2124597	0.918888155
503367	2124597	0.919321363
503467	2124597	0.919763169
503567	2124597	0.920213567
503667	2124597	0.920672546
503767	2124597	0.921140097
503867	2124597	0.921616211
503967	2124597	0.922100877
504067	2124597	0.922594085
504167	2124597	0.923095823
504267	2124597	0.923606081
504367	2124597	0.924124846
504467	2124597	0.924652105
504567	2124597	0.925187848
504667	2124597	0.925732059
504767	2124597	0.926284727
504867	2124597	0.926845837
504967	2124597	0.927415375
505067	2124597	0.927993327
505167	2124597	0.928579677
505267	2124597	0.929174412
505367	2124597	0.929777515
505467	2124597	0.930388971
505567	2124597	0.931008763
505667	2124597	0.931636876
505767	2124597	0.932273292
505867	2124597	0.932917995
505967	2124597	0.933570968
506067	2124597	0.934232192
506167	2124597	0.934901651
506267	2124597	0.935579326
506367	2124597	0.936265198
506467	2124597	0.93695925
502667	2124697	0.914096876
502767	2124697	0.914478377
502867	2124697	0.914868562
502967	2124697	0.915267424
503067	2124697	0.915674956
503167	2124697	0.916091152
503267	2124697	0.916516004
503367	2124697	0.916949505
503467	2124697	0.917391645
503567	2124697	0.917842417
503667	2124697	0.918301811
503767	2124697	0.918769816
503867	2124697	0.919246425
503967	2124697	0.919731624
504067	2124697	0.920225404
504167	2124697	0.920727754
504267	2124697	0.92123866
504367	2124697	0.921758112
504467	2124697	0.922286097
504567	2124697	0.922822601
504667	2124697	0.923367611
504767	2124697	0.923921114
504867	2124697	0.924483095
504967	2124697	0.92505354
505067	2124697	0.925632435
505167	2124697	0.926219764
505267	2124697	0.926815511
505367	2124697	0.927419662
505467	2124697	0.928032199
505567	2124697	0.928653107
505667	2124697	0.929282369
505767	2124697	0.929919968
505867	2124697	0.930565886
505967	2124697	0.931220106
506067	2124697	0.931882611
506167	2124697	0.932553381
506267	2124697	0.9332324
506367	2124697	0.933919647
506467	2124697	0.934615104
502367	2124797	0.910631022
502467	2124797	0.910986365
502567	2124797	0.91135045
502667	2124797	0.911723271
502767	2124797	0.912104824
502867	2124797	0.912495103
502967	2124797	0.912894102
503067	2124797	0.913301814
503167	2124797	0.913718232
503267	2124797	0.914143348
503367	2124797	0.914577154
503467	2124797	0.915019641
503567	2124797	0.9154708
503667	2124797	0.915930621
503767	2124797	0.916399095
503867	2124797	0.916876211
503967	2124797	0.917361958
504067	2124797	0.917856324
504167	2124797	0.918359298
504267	2124797	0.918870868
504367	2124797	0.919391022
504467	2124797	0.919919745
504567	2124797	0.920457026
504667	2124797	0.92100285
504767	2124797	0.921557203
504867	2124797	0.922120071
504967	2124797	0.922691439
505067	2124797	0.923271292
505167	2124797	0.923859615
505267	2124797	0.924456391
505367	2124797	0.925061605
505467	2124797	0.92567524
505567	2124797	0.92629728
505667	2124797	0.926927707
505767	2124797	0.927566505
505867	2124797	0.928213655
505967	2124797	0.92886914
506067	2124797	0.929532941
506167	2124797	0.93020504
506267	2124797	0.930885419
506367	2124797	0.931574059
506467	2124797	0.932270939
502267	2124897	0.907910432
502367	2124897	0.908256914
502467	2124897	0.908612187
502567	2124897	0.908976245
502667	2124897	0.909349085
502767	2124897	0.9097307
502867	2124897	0.910121085
502967	2124897	0.910520233
503067	2124897	0.910928137
503167	2124897	0.911344788
503267	2124897	0.911770181
503367	2124897	0.912204304
503467	2124897	0.912647151
503567	2124897	0.91309871
503667	2124897	0.913558973
503767	2124897	0.914027928
503867	2124897	0.914505565
503967	2124897	0.914991873
504067	2124897	0.91548684
504167	2124897	0.915990453
504267	2124897	0.916502702
504367	2124897	0.917023571
504467	2124897	0.917553049
504567	2124897	0.918091121
504667	2124897	0.918637774
504767	2124897	0.919192993
504867	2124897	0.919756763
504967	2124897	0.92032907
505067	2124897	0.920909897
505167	2124897	0.921499229
505267	2124897	0.92209705
505367	2124897	0.922703344
505467	2124897	0.923318094
505567	2124897	0.923941282
505667	2124897	0.924572891
505767	2124897	0.925212904
505867	2124897	0.925861303
505967	2124897	0.926518069
506067	2124897	0.927183185
506167	2124897	0.92785663
506267	2124897	0.928538387
506367	2124897	0.929228436
502167	2124997	0.90519827
502267	2124997	0.905535807
502367	2124997	0.905882184
502467	2124997	0.906237397
502567	2124997	0.90660144
502667	2124997	0.90697431
502767	2124997	0.907355998
502867	2124997	0.907746501
502967	2124997	0.908145809
503067	2124997	0.908553917
