x	y	error_car_pre_sup
504667	2123497	0.659004459
504767	2123497	0.659651324
504867	2123497	0.6603065
504967	2123497	0.660969974
504067	2123597	0.653173894
504167	2123597	0.653772072
504267	2123597	0.654378645
504367	2123597	0.654993605
504467	2123597	0.655616942
504567	2123597	0.656248648
504667	2123597	0.656888713
504767	2123597	0.657537128
504867	2123597	0.65819388
504967	2123597	0.658858961
505067	2123597	0.659532358
505167	2123597	0.660214061
505267	2123597	0.660904058
503867	2123697	0.649877079
503967	2123697	0.650459764
504067	2123697	0.651050889
504167	2123697	0.651650445
504267	2123697	0.652258426
504367	2123697	0.652874823
504467	2123697	0.653499625
504567	2123697	0.654132825
504667	2123697	0.654774413
504767	2123697	0.655424378
504867	2123697	0.656082711
504967	2123697	0.656749401
505067	2123697	0.657424436
505167	2123697	0.658107806
505267	2123697	0.658799499
505367	2123697	0.659499503
505467	2123697	0.660207804
505567	2123697	0.660924391
503867	2123797	0.647752843
503967	2123797	0.648336852
504067	2123797	0.648929329
504167	2123797	0.649530266
504267	2123797	0.650139656
504367	2123797	0.650757491
504467	2123797	0.65138376
504567	2123797	0.652018456
504667	2123797	0.652661569
504767	2123797	0.653313088
504867	2123797	0.653973004
504967	2123797	0.654641306
505067	2123797	0.655317983
505167	2123797	0.656003024
505267	2123797	0.656696417
505367	2123797	0.65739815
505467	2123797	0.65810821
505567	2123797	0.658826585
505667	2123797	0.659553262
505767	2123797	0.660288226
503767	2123897	0.645053237
503867	2123897	0.645630065
503967	2123897	0.646215398
504067	2123897	0.646809228
504167	2123897	0.647411547
504267	2123897	0.648022348
504367	2123897	0.648641622
504467	2123897	0.649269361
504567	2123897	0.649905555
504667	2123897	0.650550194
504767	2123897	0.65120327
504867	2123897	0.651864772
504967	2123897	0.652534689
505067	2123897	0.653213011
505167	2123897	0.653899726
505267	2123897	0.654594823
505367	2123897	0.65529829
505467	2123897	0.656010113
505567	2123897	0.656730281
505667	2123897	0.65745878
505767	2123897	0.658195596
505867	2123897	0.658940716
505967	2123897	0.659694124
506067	2123897	0.660455806
506167	2123897	0.661225746
506267	2123897	0.662003929
506367	2123897	0.662790339
506467	2123897	0.663584958
506567	2123897	0.66438777
506667	2123897	0.665198757
506767	2123897	0.6660179
503667	2123997	0.642361049
503767	2123997	0.642930632
503867	2123997	0.643508757
503967	2123997	0.644095415
504067	2123997	0.644690599
504167	2123997	0.645294301
504267	2123997	0.645906515
504367	2123997	0.64652723
504467	2123997	0.647156439
504567	2123997	0.647794133
504667	2123997	0.648440303
504767	2123997	0.649094937
504867	2123997	0.649758028
504967	2123997	0.650429563
505067	2123997	0.651109533
505167	2123997	0.651797926
505267	2123997	0.652494731
505367	2123997	0.653199934
505467	2123997	0.653913525
505567	2123997	0.65463549
505667	2123997	0.655365816
505767	2123997	0.65610449
505867	2123997	0.656851496
505967	2123997	0.657606822
506067	2123997	0.658370451
506167	2123997	0.659142368
506267	2123997	0.659922558
506367	2123997	0.660711005
506467	2123997	0.661507691
506567	2123997	0.662312599
506667	2123997	0.663125712
506767	2123997	0.663947012
503567	2124097	0.639676384
503667	2124097	0.64023866
503767	2124097	0.640809511
503867	2124097	0.641388933
503967	2124097	0.641976916
504067	2124097	0.642573455
504167	2124097	0.643178542
504267	2124097	0.643792169
504367	2124097	0.644414327
504467	2124097	0.645045009
504567	2124097	0.645684205
504667	2124097	0.646331906
504767	2124097	0.646988103
504867	2124097	0.647652784
504967	2124097	0.648325941
505067	2124097	0.649007562
505167	2124097	0.649697636
505267	2124097	0.650396152
505367	2124097	0.651103097
505467	2124097	0.651818459
505567	2124097	0.652542226
505667	2124097	0.653274384
505767	2124097	0.654014919
505867	2124097	0.654763818
505967	2124097	0.655521066
506067	2124097	0.656286648
506167	2124097	0.657060549
506267	2124097	0.657842752
506367	2124097	0.658633242
506467	2124097	0.659432002
506567	2124097	0.660239014
506667	2124097	0.661054261
506767	2124097	0.661877725
503467	2124197	0.63699935
503567	2124197	0.637554254
503667	2124197	0.638117768
503767	2124197	0.638689888
503867	2124197	0.639270607
503967	2124197	0.639859917
504067	2124197	0.640457812
504167	2124197	0.641064284
504267	2124197	0.641679325
504367	2124197	0.642302928
504467	2124197	0.642935084
504567	2124197	0.643575784
504667	2124197	0.644225019
504767	2124197	0.644882779
504867	2124197	0.645549054
504967	2124197	0.646223835
505067	2124197	0.64690711
505167	2124197	0.647598869
505267	2124197	0.648299099
505367	2124197	0.64900779
505467	2124197	0.649724928
505567	2124197	0.6504505
505667	2124197	0.651184495
505767	2124197	0.651926897
505867	2124197	0.652677694
505967	2124197	0.65343687
506067	2124197	0.65420441
506167	2124197	0.6549803
506267	2124197	0.655764523
506367	2124197	0.656557064
506467	2124197	0.657357904
506567	2124197	0.658167027
506667	2124197	0.658984416
503367	2124297	0.634330054
503467	2124297	0.634877522
503567	2124297	0.635433635
503667	2124297	0.635998389
503767	2124297	0.636571777
503867	2124297	0.637153793
503967	2124297	0.63774443
504067	2124297	0.638343681
504167	2124297	0.638951539
504267	2124297	0.639567997
504367	2124297	0.640193045
504467	2124297	0.640826677
504567	2124297	0.641468882
504667	2124297	0.642119653
504767	2124297	0.642778979
504867	2124297	0.643446851
504967	2124297	0.644123259
505067	2124297	0.644808191
505167	2124297	0.645501637
505267	2124297	0.646203586
505367	2124297	0.646914025
505467	2124297	0.647632943
505567	2124297	0.648360326
505667	2124297	0.649096161
505767	2124297	0.649840436
505867	2124297	0.650593135
505967	2124297	0.651354245
506067	2124297	0.65212375
506167	2124297	0.652901635
506267	2124297	0.653687884
506367	2124297	0.654482481
506467	2124297	0.655285409
506567	2124297	0.656096651
506667	2124297	0.656916189
503267	2124397	0.631668605
503367	2124397	0.632208572
503467	2124397	0.63275722
503567	2124397	0.633314543
503667	2124397	0.633880536
503767	2124397	0.634455192
503867	2124397	0.635038505
503967	2124397	0.63563047
504067	2124397	0.636231078
504167	2124397	0.636840323
504267	2124397	0.637458197
504367	2124397	0.638084693
504467	2124397	0.638719801
504567	2124397	0.639363514
504667	2124397	0.640015823
504767	2124397	0.640676717
504867	2124397	0.641346188
504967	2124397	0.642024225
505067	2124397	0.642710817
505167	2124397	0.643405955
505267	2124397	0.644109625
505367	2124397	0.644821817
505467	2124397	0.645542518
505567	2124397	0.646271716
505667	2124397	0.647009397
505767	2124397	0.647755548
505867	2124397	0.648510155
505967	2124397	0.649273204
506067	2124397	0.650044679
506167	2124397	0.650824565
506267	2124397	0.651612847
506367	2124397	0.652409507
506467	2124397	0.65321453
