x	y	error_car_pre_tot
504667	2123497	1.585709902
504767	2123497	1.58876912
504867	2123497	1.591841269
504967	2123497	1.594926272
504067	2123597	1.563161041
504167	2123597	1.566149684
504267	2123597	1.569151733
504367	2123597	1.57216711
504467	2123597	1.575195734
504567	2123597	1.578237528
504667	2123597	1.581292412
504767	2123597	1.584360309
504867	2123597	1.58744114
504967	2123597	1.590534828
505067	2123597	1.593641295
505167	2123597	1.596760465
505267	2123597	1.599892259
503867	2123697	1.552743557
503967	2123697	1.555713821
504067	2123697	1.558697658
504167	2123697	1.561694988
504267	2123697	1.564705731
504367	2123697	1.567729806
504467	2123697	1.570767136
504567	2123697	1.573817639
504667	2123697	1.576881237
504767	2123697	1.579957851
504867	2123697	1.583047402
504967	2123697	1.586149813
505067	2123697	1.589265006
505167	2123697	1.592392902
505267	2123697	1.595533425
505367	2123697	1.598686497
505467	2123697	1.601852042
505567	2123697	1.605029983
503867	2123797	1.54826887
503967	2123797	1.551247848
504067	2123797	1.554240406
504167	2123797	1.557246464
504267	2123797	1.56026594
504367	2123797	1.563298755
504467	2123797	1.566344828
504567	2123797	1.56940408
504667	2123797	1.57247643
504767	2123797	1.5755618
504867	2123797	1.57866011
504967	2123797	1.581771282
505067	2123797	1.584895237
505167	2123797	1.588031898
505267	2123797	1.591181186
505367	2123797	1.594343024
505467	2123797	1.597517335
505567	2123797	1.600704041
505667	2123797	1.603903067
505767	2123797	1.607114336
503767	2123897	1.540826224
503867	2123897	1.543800288
503967	2123897	1.546788021
504067	2123897	1.549789341
504167	2123897	1.552804167
504267	2123897	1.555832417
504367	2123897	1.55887401
504467	2123897	1.561928867
504567	2123897	1.564996906
504667	2123897	1.568078047
504767	2123897	1.571172211
504867	2123897	1.574279318
504967	2123897	1.577399289
505067	2123897	1.580532045
505167	2123897	1.583677508
505267	2123897	1.586835598
505367	2123897	1.590006239
505467	2123897	1.593189352
505567	2123897	1.59638486
505667	2123897	1.599592687
505767	2123897	1.602812755
505867	2123897	1.606044987
505967	2123897	1.60928931
506067	2123897	1.612545645
506167	2123897	1.615813919
506267	2123897	1.619094056
506367	2123897	1.622385981
506467	2123897	1.62568962
506567	2123897	1.6290049
506667	2123897	1.632331747
506767	2123897	1.635670087
503667	2123997	1.533385919
503767	2123997	1.536355013
503867	2123997	1.539337866
503967	2123997	1.542334395
504067	2123997	1.545344517
504167	2123997	1.548368151
504267	2123997	1.551405215
504367	2123997	1.554455627
504467	2123997	1.557519307
504567	2123997	1.560596173
504667	2123997	1.563686144
504767	2123997	1.566789141
504867	2123997	1.569905084
504967	2123997	1.573033892
505067	2123997	1.576175486
505167	2123997	1.579329788
