x	y	error_coe_com_dur
504667	2123497	0.31396075
504767	2123497	0.314545668
504867	2123497	0.315133365
504967	2123497	0.315723825
504067	2123597	0.309594199
504167	2123597	0.310163799
504267	2123597	0.310736277
504367	2123597	0.311311618
504467	2123597	0.311889805
504567	2123597	0.312470821
504667	2123597	0.313054651
504767	2123597	0.313641277
504867	2123597	0.314230685
504967	2123597	0.314822857
505067	2123597	0.315417779
505167	2123597	0.316015432
505267	2123597	0.316615803
503867	2123697	0.30754513
503967	2123697	0.30811062
504067	2123697	0.308679024
504167	2123697	0.309250326
504267	2123697	0.309824509
504367	2123697	0.310401558
504467	2123697	0.310981454
504567	2123697	0.311564183
504667	2123697	0.312149727
504767	2123697	0.312738071
504867	2123697	0.313329197
504967	2123697	0.313923091
505067	2123697	0.314519734
505167	2123697	0.315119113
505267	2123697	0.315721209
505367	2123697	0.316326008
505467	2123697	0.316933493
505567	2123697	0.317543648
503867	2123797	0.306627677
503967	2123797	0.307194872
504067	2123797	0.307764984
504167	2123797	0.308337997
504267	2123797	0.308913894
504367	2123797	0.309492658
504467	2123797	0.310074273
504567	2123797	0.310658723
504667	2123797	0.31124599
504767	2123797	0.311836059
504867	2123797	0.312428912
504967	2123797	0.313024535
505067	2123797	0.313622909
505167	2123797	0.31422402
505267	2123797	0.31482785
505367	2123797	0.315434384
505467	2123797	0.316043606
505567	2123797	0.316655499
505667	2123797	0.317270047
505767	2123797	0.317887235
503767	2123897	0.305145382
503867	2123897	0.305711353
503967	2123897	0.306280261
504067	2123897	0.30685209
504167	2123897	0.307426822
504267	2123897	0.308004441
504367	2123897	0.308584929
504467	2123897	0.309168272
504567	2123897	0.30975445
504667	2123897	0.310343449
504767	2123897	0.310935251
504867	2123897	0.311529841
504967	2123897	0.3121272
505067	2123897	0.312727314
505167	2123897	0.313330165
505267	2123897	0.313935737
505367	2123897	0.314544015
505467	2123897	0.315154981
505567	2123897	0.31576862
505667	2123897	0.316384915
505767	2123897	0.31700385
505867	2123897	0.31762541
505967	2123897	0.318249578
506067	2123897	0.318876339
506167	2123897	0.319505677
506267	2123897	0.320137575
506367	2123897	0.320772018
506467	2123897	0.321408991
506567	2123897	0.322048478
506667	2123897	0.322690464
506767	2123897	0.323334932
503667	2123997	0.303663742
503767	2123997	0.304228476
503867	2123997	0.304796166
503967	2123997	0.305366797
504067	2123997	0.305940351
504167	2123997	0.306516811
504267	2123997	0.307096161
504367	2123997	0.307678383
504467	2123997	0.30826346
504567	2123997	0.308851377
504667	2123997	0.309442116
504767	2123997	0.31003566
504867	2123997	0.310631993
504967	2123997	0.311231098
505067	2123997	0.311832958
505167	2123997	0.312437558
505267	2123997	0.313044881
505367	2123997	0.31365491
505467	2123997	0.314267628
505567	2123997	0.314883021
505667	2123997	0.315501071
505767	2123997	0.316121762
505867	2123997	0.316745078
505967	2123997	0.317371003
506067	2123997	0.317999521
506167	2123997	0.318630617
506267	2123997	0.319264273
506367	2123997	0.319900476
506467	2123997	0.320539207
506567	2123997	0.321180453
506667	2123997	0.321824198
506767	2123997	0.322470425
503567	2124097	0.30218277
503667	2124097	0.302746251
503767	2124097	0.30331271
503867	2124097	0.303882128
503967	2124097	0.30445449
504067	2124097	0.305029779
504167	2124097	0.305607975
504267	2124097	0.306189064
504367	2124097	0.306773028
504467	2124097	0.30735985
504567	2124097	0.307949513
504667	2124097	0.308542
504767	2124097	0.309137294
504867	2124097	0.309735379
504967	2124097	0.310336238
505067	2124097	0.310939854
505167	2124097	0.311546211
505267	2124097	0.312155292
505367	2124097	0.31276708
505467	2124097	0.313381559
505567	2124097	0.313998714
505667	2124097	0.314618526
505767	2124097	0.31524098
505867	2124097	0.315866061
505967	2124097	0.316493751
506067	2124097	0.317124034
506167	2124097	0.317756895
506267	2124097	0.318392318
506367	2124097	0.319030286
506467	2124097	0.319670784
506567	2124097	0.320313796
506667	2124097	0.320959306
506767	2124097	0.321607299
503467	2124197	0.300702475
503567	2124197	0.301264689
503667	2124197	0.301829901
503767	2124197	0.302398094
503867	2124197	0.30296925
503967	2124197	0.303543352
504067	2124197	0.304120383
504167	2124197	0.304700325
504267	2124197	0.305283162
504367	2124197	0.305868876
504467	2124197	0.306457451
504567	2124197	0.307048869
504667	2124197	0.307643113
504767	2124197	0.308240166
504867	2124197	0.308840011
504967	2124197	0.309442632
505067	2124197	0.310048012
505167	2124197	0.310656134
505267	2124197	0.311266981
505367	2124197	0.311880537
505467	2124197	0.312496785
505567	2124197	0.313115709
505667	2124197	0.313737292
505767	2124197	0.314361517
505867	2124197	0.31498837
505967	2124197	0.315617832
506067	2124197	0.316249888
506167	2124197	0.316884523
506267	2124197	0.317521719
506367	2124197	0.318161461
506467	2124197	0.318803732
506567	2124197	0.319448518
506667	2124197	0.320095802
503367	2124297	0.299222867
503467	2124297	0.299783799
503567	2124297	0.30034775
503667	2124297	0.300914702
503767	2124297	0.301484638
503867	2124297	0.30205754
503967	2124297	0.302633392
504067	2124297	0.303212174
504167	2124297	0.303793871
504267	2124297	0.304378465
504367	2124297	0.304965938
504467	2124297	0.305556274
504567	2124297	0.306149455
504667	2124297	0.306745465
504767	2124297	0.307344285
504867	2124297	0.3079459
504967	2124297	0.308550291
505067	2124297	0.309157443
505167	2124297	0.309767338
505267	2124297	0.31037996
505367	2124297	0.310995292
505467	2124297	0.311613317
505567	2124297	0.312234018
505667	2124297	0.312857379
505767	2124297	0.313483384
505867	2124297	0.314112016
505967	2124297	0.314743259
506067	2124297	0.315377096
506167	2124297	0.316013511
506267	2124297	0.316652488
506367	2124297	0.317294011
506467	2124297	0.317938064
506567	2124297	0.31858463
506667	2124297	0.319233695
503267	2124397	0.297743958
503367	2124397	0.298303593
503467	2124397	0.298866267
503567	2124397	0.299431964
503667	2124397	0.300000666
503767	2124397	0.300572354
503867	2124397	0.301147011
503967	2124397	0.30172462
504067	2124397	0.302305164
504167	2124397	0.302888624
504267	2124397	0.303474983
504367	2124397	0.304064225
504467	2124397	0.304656331
504567	2124397	0.305251284
504667	2124397	0.305849067
504767	2124397	0.306449663
504867	2124397	0.307053055
504967	2124397	0.307659226
505067	2124397	0.308268158
505167	2124397	0.308879835
505267	2124397	0.30949424
505367	2124397	0.310111355
505467	2124397	0.310731165
505567	2124397	0.311353652
505667	2124397	0.3119788
505767	2124397	0.312606592
505867	2124397	0.313237012
505967	2124397	0.313870042
506067	2124397	0.314505668
506167	2124397	0.315143871
506267	2124397	0.315784637
506367	2124397	0.316427949
506467	2124397	0.31707379
506567	2124397	0.317722145
503067	2124497	0.295710515
503167	2124497	0.296265758
503267	2124497	0.29682408
503367	2124497	0.297385463
503467	2124497	0.29794989
503567	2124497	0.298517342
503667	2124497	0.299087802
503767	2124497	0.299661251
503867	2124497	0.300237673
503967	2124497	0.300817049
504067	2124497	0.301399362
504167	2124497	0.301984594
504267	2124497	0.302572728
504367	2124497	0.303163746
504467	2124497	0.303757631
504567	2124497	0.304354365
504667	2124497	0.304953931
504767	2124497	0.305556312
504867	2124497	0.30616149
504967	2124497	0.306769448
505067	2124497	0.307380169
505167	2124497	0.307993636
505267	2124497	0.308609832
505367	2124497	0.30922874
505467	2124497	0.309850342
505567	2124497	0.310474623
505667	2124497	0.311101566
505767	2124497	0.311731153
505867	2124497	0.312363368
505967	2124497	0.312998194
506067	2124497	0.313635616
506167	2124497	0.314275616
506267	2124497	0.314918178
506367	2124497	0.315563286
506467	2124497	0.316210923
506567	2124497	0.316861074
502967	2124597	0.294234387
503067	2124597	0.294788279
503167	2124597	0.295345273
503267	2124597	0.295905349
503367	2124597	0.29646849
503467	2124597	0.297034677
503567	2124597	0.297603894
503667	2124597	0.298176121
503767	2124597	0.298751341
503867	2124597	0.299329536
503967	2124597	0.299910689
504067	2124597	0.30049478
504167	2124597	0.301081794
504267	2124597	0.301671711
504367	2124597	0.302264515
504467	2124597	0.302860187
504567	2124597	0.303458711
504667	2124597	0.304060068
504767	2124597	0.304664242
504867	2124597	0.305271214
504967	2124597	0.305880968
505067	2124597	0.306493486
505167	2124597	0.307108752
505267	2124597	0.307726747
505367	2124597	0.308347455
505467	2124597	0.308970859
505567	2124597	0.309596942
505667	2124597	0.310225687
505767	2124597	0.310857077
505867	2124597	0.311491096
505967	2124597	0.312127726
506067	2124597	0.312766952
506167	2124597	0.313408755
506267	2124597	0.314053121
506367	2124597	0.314700033
506467	2124597	0.315349474
502667	2124697	0.291663397
502767	2124697	0.292209622
502867	2124697	0.292759007
502967	2124697	0.293311533
503067	2124697	0.293867181
503167	2124697	0.294425935
503267	2124697	0.294987774
503367	2124697	0.295552683
503467	2124697	0.296120641
503567	2124697	0.296691631
503667	2124697	0.297265635
503767	2124697	0.297842635
503867	2124697	0.298422613
503967	2124697	0.29900555
504067	2124697	0.299591429
504167	2124697	0.300180233
504267	2124697	0.300771943
504367	2124697	0.301366541
504467	2124697	0.30196401
504567	2124697	0.302564332
504667	2124697	0.303167489
504767	2124697	0.303773464
504867	2124697	0.30438224
504967	2124697	0.304993798
505067	2124697	0.305608122
505167	2124697	0.306225195
505267	2124697	0.306844998
505367	2124697	0.307467515
505467	2124697	0.308092728
505567	2124697	0.308720621
505667	2124697	0.309351177
505767	2124697	0.309984378
505867	2124697	0.310620208
505967	2124697	0.31125865
506067	2124697	0.311899687
506167	2124697	0.312543303
506267	2124697	0.31318948
506367	2124697	0.313838203
506467	2124697	0.314489455
502367	2124797	0.289111641
502467	2124797	0.289650017
502567	2124797	0.290191613
502667	2124797	0.290736409
502767	2124797	0.291284387
502867	2124797	0.29183553
502967	2124797	0.292389817
503067	2124797	0.292947232
503167	2124797	0.293507755
503267	2124797	0.294071368
503367	2124797	0.294638053
503467	2124797	0.295207791
503567	2124797	0.295780564
503667	2124797	0.296356354
503767	2124797	0.296935143
503867	2124797	0.297516913
503967	2124797	0.298101645
504067	2124797	0.298689321
504167	2124797	0.299279924
504267	2124797	0.299873435
504367	2124797	0.300469836
504467	2124797	0.301069111
504567	2124797	0.30167124
504667	2124797	0.302276206
504767	2124797	0.302883991
504867	2124797	0.303494579
504967	2124797	0.30410795
505067	2124797	0.304724089
505167	2124797	0.305342976
505267	2124797	0.305964595
505367	2124797	0.306588929
505467	2124797	0.307215961
505567	2124797	0.307845672
505667	2124797	0.308478046
505767	2124797	0.309113067
505867	2124797	0.309750716
505967	2124797	0.310390977
506067	2124797	0.311033834
506167	2124797	0.311679269
506267	2124797	0.312327266
506367	2124797	0.312977808
506467	2124797	0.313630879
502267	2124897	0.287643627
502367	2124897	0.28818051
502467	2124897	0.288720636
502567	2124897	0.289263986
502667	2124897	0.289810541
502767	2124897	0.290360283
502867	2124897	0.290913193
502967	2124897	0.291469252
503067	2124897	0.292028442
503167	2124897	0.292590744
503267	2124897	0.29315614
503367	2124897	0.293724611
503467	2124897	0.294296139
503567	2124897	0.294870704
503667	2124897	0.29544829
503767	2124897	0.296028877
503867	2124897	0.296612448
503967	2124897	0.297198984
504067	2124897	0.297788466
504167	2124897	0.298380877
504267	2124897	0.298976198
504367	2124897	0.299574412
504467	2124897	0.300175501
504567	2124897	0.300779446
504667	2124897	0.30138623
504767	2124897	0.301995835
504867	2124897	0.302608242
504967	2124897	0.303223436
505067	2124897	0.303841397
505167	2124897	0.304462108
505267	2124897	0.305085552
505367	2124897	0.305711711
505467	2124897	0.306340568
505567	2124897	0.306972106
505667	2124897	0.307606307
505767	2124897	0.308243155
505867	2124897	0.308882632
505967	2124897	0.30952472
506067	2124897	0.310169405
506167	2124897	0.310816667
506267	2124897	0.311466491
506367	2124897	0.31211886
502167	2124997	0.28617647
502267	2124997	0.286711842
502367	2124997	0.28725048
502467	2124997	0.287792366
502567	2124997	0.28833748
502667	2124997	0.288885805
502767	2124997	0.28943732
502867	2124997	0.289992007
502967	2124997	0.290549848
503067	2124997	0.291110823
503167	2124997	0.291674914
503267	2124997	0.292242102
503367	2124997	0.292812369
503467	2124997	0.293385695
503567	2124997	0.293962063
503667	2124997	0.294541454
503767	2124997	0.295123849
503867	2124997	0.29570923
503967	2124997	0.296297578
504067	2124997	0.296888876
504167	2124997	0.297483104
