x	y	error_coe_com_inf
504667	2123497	0.669160687
504767	2123497	0.670338882
504867	2123497	0.671520644
504967	2123497	0.672705955
504067	2123597	0.660681047
504167	2123597	0.661840115
504267	2123597	0.663002882
504367	2123597	0.664169326
504467	2123597	0.665339426
504567	2123597	0.666513158
504667	2123597	0.667690503
504767	2123597	0.668871437
504867	2123597	0.67005594
504967	2123597	0.67124399
505067	2123597	0.672435565
505167	2123597	0.673630644
505267	2123597	0.674829205
503867	2123697	0.656883978
503967	2123697	0.65803833
504067	2123697	0.659196427
504167	2123697	0.660358245
504267	2123697	0.661523763
504367	2123697	0.662692959
504467	2123697	0.66386581
504567	2123697	0.665042294
504667	2123697	0.66622239
504767	2123697	0.667406075
504867	2123697	0.668593329
504967	2123697	0.669784128
505067	2123697	0.670978453
505167	2123697	0.67217628
505267	2123697	0.673377589
505367	2123697	0.674582359
505467	2123697	0.675790567
505567	2123697	0.677002194
503867	2123797	0.655395856
503967	2123797	0.656552969
504067	2123797	0.657713827
504167	2123797	0.658878407
504267	2123797	0.660046688
504367	2123797	0.661218646
504467	2123797	0.662394259
504567	2123797	0.663573506
504667	2123797	0.664756364
504767	2123797	0.665942811
504867	2123797	0.667132826
504967	2123797	0.668326386
505067	2123797	0.66952347
505167	2123797	0.670724056
505267	2123797	0.671928123
505367	2123797	0.67313565
505467	2123797	0.674346614
505567	2123797	0.675560995
505667	2123797	0.676778771
505767	2123797	0.677999922
503767	2123897	0.652753629
503867	2123897	0.653909746
503967	2123897	0.655069632
504067	2123897	0.656233263
504167	2123897	0.657400617
504267	2123897	0.658571671
504367	2123897	0.659746402
504467	2123897	0.660924789
504567	2123897	0.662106809
504667	2123897	0.663292441
504767	2123897	0.66448166
504867	2123897	0.665674447
504967	2123897	0.666870779
505067	2123897	0.668070633
505167	2123897	0.669273989
505267	2123897	0.670480824
505367	2123897	0.671691117
505467	2123897	0.672904847
505567	2123897	0.674121992
505667	2123897	0.675342531
505767	2123897	0.676566442
505867	2123897	0.677793705
505967	2123897	0.679024299
506067	2123897	0.680258202
506167	2123897	0.681495394
506267	2123897	0.682735854
506367	2123897	0.683979561
506467	2123897	0.685226496
506567	2123897	0.686476637
506667	2123897	0.687729964
506767	2123897	0.688986458
503667	2123997	0.650111655
503767	2123997	0.651266765
503867	2123997	0.652425666
503967	2123997	0.653588335
504067	2123997	0.654754751
504167	2123997	0.655924889
504267	2123997	0.657098728
504367	2123997	0.658276244
504467	2123997	0.659457416
504567	2123997	0.66064222
504667	2123997	0.661830636
504767	2123997	0.663022639
504867	2123997	0.664218208
504967	2123997	0.665417322
505067	2123997	0.666619957
505167	2123997	0.667826093
505267	2123997	0.669035707
505367	2123997	0.670248778
505467	2123997	0.671465284
505567	2123997	0.672685203
505667	2123997	0.673908514
505767	2123997	0.675135196
505867	2123997	0.676365228
505967	2123997	0.677598588
506067	2123997	0.678835256
506167	2123997	0.68007521
506267	2123997	0.68131843
506367	2123997	0.682564895
506467	2123997	0.683814584
506567	2123997	0.685067477
506667	2123997	0.686323554
506767	2123997	0.687582793
503567	2124097	0.64746994
503667	2124097	0.648624029
503767	2124097	0.649781933
503867	2124097	0.650943629
503967	2124097	0.652109094
504067	2124097	0.653278305
504167	2124097	0.654451239
504267	2124097	0.655627874
504367	2124097	0.656808187
504467	2124097	0.657992155
504567	2124097	0.659179755
504667	2124097	0.660370965
504767	2124097	0.661565763
504867	2124097	0.662764126
504967	2124097	0.663966032
505067	2124097	0.665171459
505167	2124097	0.666380385
505267	2124097	0.667592789
505367	2124097	0.668808647
505467	2124097	0.670027939
505567	2124097	0.671250643
505667	2124097	0.672476737
505767	2124097	0.6737062
505867	2124097	0.67493901
505967	2124097	0.676175147
506067	2124097	0.677414588
506167	2124097	0.678657314
506267	2124097	0.679903304
506367	2124097	0.681152535
506467	2124097	0.682404988
506567	2124097	0.683660643
506667	2124097	0.684919478
506767	2124097	0.686181473
503467	2124197	0.64482849
503567	2124197	0.645981545
503667	2124197	0.647138438
503767	2124197	0.648299148
503867	2124197	0.649463651
503967	2124197	0.650631923
504067	2124197	0.651803942
504167	2124197	0.652979684
504267	2124197	0.654159127
504367	2124197	0.655342247
504467	2124197	0.656529022
504567	2124197	0.657719428
504667	2124197	0.658913445
504767	2124197	0.660111048
504867	2124197	0.661312215
504967	2124197	0.662516925
505067	2124197	0.663725155
505167	2124197	0.664936882
505267	2124197	0.666152085
505367	2124197	0.667370741
505467	2124197	0.66859283
505567	2124197	0.669818328
505667	2124197	0.671047215
505767	2124197	0.672279468
505867	2124197	0.673515067
505967	2124197	0.67475399
506067	2124197	0.675996216
506167	2124197	0.677241724
506267	2124197	0.678490492
506367	2124197	0.6797425
506467	2124197	0.680997726
506567	2124197	0.682256151
506667	2124197	0.683517753
503367	2124297	0.642187311
503467	2124297	0.643339318
503567	2124297	0.644495189
503667	2124297	0.6456549
503767	2124297	0.646818428
503867	2124297	0.647985749
503967	2124297	0.64915684
504067	2124297	0.650331678
504167	2124297	0.651510239
504267	2124297	0.652692501
504367	2124297	0.65387844
504467	2124297	0.655068033
504567	2124297	0.656261258
504667	2124297	0.657458091
504767	2124297	0.658658511
504867	2124297	0.659862494
504967	2124297	0.661070018
505067	2124297	0.66228106
505167	2124297	0.663495599
505267	2124297	0.664713612
505367	2124297	0.665935077
505467	2124297	0.667159972
505567	2124297	0.668388276
505667	2124297	0.669619965
505767	2124297	0.67085502
505867	2124297	0.672093417
505967	2124297	0.673335136
506067	2124297	0.674580156
506167	2124297	0.675828454
506267	2124297	0.677080011
506367	2124297	0.678334804
506467	2124297	0.679592813
506567	2124297	0.680854018
506667	2124297	0.682118397
503267	2124397	0.639546408
503367	2124397	0.640697354
503467	2124397	0.641852189
503567	2124397	0.643010889
503667	2124397	0.644173429
503767	2124397	0.645339787
503867	2124397	0.646509939
503967	2124397	0.647683861
504067	2124397	0.648861529
504167	2124397	0.650042921
504267	2124397	0.651228013
504367	2124397	0.652416782
504467	2124397	0.653609205
504567	2124397	0.654805259
504667	2124397	0.656004921
504767	2124397	0.657208168
504867	2124397	0.658414977
504967	2124397	0.659625326
505067	2124397	0.660839192
505167	2124397	0.662056554
505267	2124397	0.663277387
505367	2124397	0.664501671
