x	y	error_coe_com_sup
504667	2123497	0.879742573
504767	2123497	0.877596451
504867	2123497	0.875479619
504967	2123497	0.87339244
504067	2123597	0.889881835
504167	2123597	0.887546791
504267	2123597	0.885239
504367	2123597	0.882958862
504467	2123597	0.880706775
504567	2123597	0.878483132
504667	2123597	0.876288317
504767	2123597	0.874122713
504867	2123597	0.871986691
504967	2123597	0.869880622
505067	2123597	0.867804865
505167	2123597	0.865759775
505267	2123597	0.863745701
503867	2123697	0.891340842
503967	2123697	0.888930699
504067	2123697	0.886547231
504167	2123697	0.884190859
504267	2123697	0.881861996
504367	2123697	0.879561053
504467	2123697	0.877288432
504567	2123697	0.875044532
504667	2123697	0.872829745
504767	2123697	0.870644458
504867	2123697	0.868489051
504967	2123697	0.866363898
505067	2123697	0.864269366
505167	2123697	0.862205817
505267	2123697	0.860173602
505367	2123697	0.858173069
505467	2123697	0.856204557
505567	2123697	0.854268396
503867	2123797	0.888047036
503967	2123797	0.885614839
504067	2123797	0.883209565
504167	2123797	0.880831642
504267	2123797	0.878481489
504367	2123797	0.876159523
504467	2123797	0.873866155
504567	2123797	0.871601788
504667	2123797	0.869366822
504767	2123797	0.867161649
504867	2123797	0.864986657
504967	2123797	0.862842226
505067	2123797	0.860728728
505167	2123797	0.858646531
505267	2123797	0.856595993
505367	2123797	0.854577468
505467	2123797	0.852591299
505567	2123797	0.850637823
505667	2123797	0.848717369
505767	2123797	0.846830259
503767	2123897	0.887231832
503867	2123897	0.884750613
503967	2123897	0.882296132
504067	2123897	0.879868825
504167	2123897	0.877469124
504267	2123897	0.875097459
504367	2123897	0.872754251
504467	2123897	0.870439918
504567	2123897	0.86815487
504667	2123897	0.865899515
504767	2123897	0.863674251
504867	2123897	0.861479471
504967	2123897	0.859315562
505067	2123897	0.857182904
505167	2123897	0.855081869
505267	2123897	0.853012823
505367	2123897	0.850976123
505467	2123897	0.848972121
505567	2123897	0.847001159
505667	2123897	0.84506357
505767	2123897	0.843159682
505867	2123897	0.841289812
505967	2123897	0.839454269
506067	2123897	0.837653352
506167	2123897	0.835887354
506267	2123897	0.834156556
506367	2123897	0.83246123
506467	2123897	0.83080164
506567	2123897	0.829178037
506667	2123897	0.827590667
506767	2123897	0.826039762
503667	2123997	0.886486066
503767	2123997	0.883955551
503867	2123997	0.881451569
503967	2123997	0.87897457
504067	2123997	0.876524997
504167	2123997	0.874103291
504267	2123997	0.871709886
504367	2123997	0.869345213
504467	2123997	0.867009696
504567	2123997	0.864703751
504667	2123997	0.862427794
504767	2123997	0.860182228
504867	2123997	0.857967455
504967	2123997	0.855783866
505067	2123997	0.85363185
505167	2123997	0.851511783
505267	2123997	0.849424039
505367	2123997	0.847368982
505467	2123997	0.845346967
505567	2123997	0.843358343
505667	2123997	0.841403451
505767	2123997	0.839482622
505867	2123997	0.837596178
505967	2123997	0.835744435
506067	2123997	0.833927697
506167	2123997	0.83214626
506267	2123997	0.830400412
506367	2123997	0.828690428
506467	2123997	0.827016575
506567	2123997	0.825379113
506667	2123997	0.823778286
506767	2123997	0.822214333
503567	2124097	0.885810715
503667	2124097	0.883230645
503767	2124097	0.880676886
503867	2124097	0.878149901
503967	2124097	0.875650146
504067	2124097	0.873178073
504167	2124097	0.870734129
504267	2124097	0.868318756
504367	2124097	0.865932391
504467	2124097	0.863575465
504567	2124097	0.861248404
504667	2124097	0.858951627
504767	2124097	0.856685547
504867	2124097	0.854450571
504967	2124097	0.852247098
505067	2124097	0.850075522
505167	2124097	0.847936228
505267	2124097	0.845829594
505367	2124097	0.843755991
505467	2124097	0.841715781
505567	2124097	0.839709319
505667	2124097	0.83773695
505767	2124097	0.835799012
505867	2124097	0.833895834
505967	2124097	0.832027735
506067	2124097	0.830195026
506167	2124097	0.828398007
506267	2124097	0.82663697
506367	2124097	0.824912196
506467	2124097	0.823223957
506567	2124097	0.821572515
506667	2124097	0.81995812
506767	2124097	0.818381013
503467	2124197	0.885206753
503567	2124197	0.882576883
503667	2124197	0.879973088
503767	2124197	0.87739584
503867	2124197	0.874845609
503967	2124197	0.872322857
504067	2124197	0.869828045
504167	2124197	0.867361627
504267	2124197	0.864924052
504367	2124197	0.862515766
504467	2124197	0.860137205
504567	2124197	0.857788803
504667	2124197	0.855470987
504767	2124197	0.853184176
504867	2124197	0.850928784
504967	2124197	0.848705219
505067	2124197	0.846513879
505167	2124197	0.844355157
505267	2124197	0.842229438
505367	2124197	0.840137099
505467	2124197	0.838078508
505567	2124197	0.836054027
505667	2124197	0.834064006
505767	2124197	0.832108791
505867	2124197	0.830188714
505967	2124197	0.828304101
506067	2124197	0.826455267
506167	2124197	0.82464252
506267	2124197	0.822866154
506367	2124197	0.821126457
506467	2124197	0.819423704
506567	2124197	0.817758162
506667	2124197	0.816130084
503367	2124297	0.884675142
503467	2124297	0.881995248
503567	2124297	0.879341174
503667	2124297	0.876713404
503767	2124297	0.874112418
503867	2124297	0.871538693
503967	2124297	0.868992701
504067	2124297	0.866474908
504167	2124297	0.863985776
504267	2124297	0.861525764
504367	2124297	0.859095321
504467	2124297	0.856694895
504567	2124297	0.854324925
504667	2124297	0.851985846
504767	2124297	0.849678084
504867	2124297	0.847402061
504967	2124297	0.845158191
505067	2124297	0.842946879
505167	2124297	0.840768526
505267	2124297	0.838623524
505367	2124297	0.836512254
505467	2124297	0.834435094
505567	2124297	0.83239241
505667	2124297	0.83038456
505767	2124297	0.828411893
505867	2124297	0.82647475
505967	2124297	0.824573462
506067	2124297	0.82270835
506167	2124297	0.820879725
506267	2124297	0.819087888
506367	2124297	0.817333132
506467	2124297	0.815615735
506567	2124297	0.81393597
506667	2124297	0.812294094
503267	2124397	0.88421684
503367	2124397	0.881486715
503467	2124397	0.878782137
503567	2124397	0.876103603
503667	2124397	0.873451604
503767	2124397	0.870826628
503867	2124397	0.86822916
503967	2124397	0.865659678
504067	2124397	0.863118659
504167	2124397	0.860606571
504267	2124397	0.858123879
504367	2124397	0.855671044
504467	2124397	0.853248518
504567	2124397	0.850856749
504667	2124397	0.848496179
504767	2124397	0.846167243
504867	2124397	0.843870368
504967	2124397	0.841605977
505067	2124397	0.839374483
505167	2124397	0.837176292
505267	2124397	0.835011804
505367	2124397	0.832881407
505467	2124397	0.830785485
505567	2124397	0.828724411
505667	2124397	0.82669855
505767	2124397	0.824708257
505867	2124397	0.822753879
505967	2124397	0.820835752
506067	2124397	0.818954203
506167	2124397	0.817109548
506267	2124397	0.815302096
506367	2124397	0.813532141
506467	2124397	0.81179997
506567	2124397	0.810105857
503067	2124497	0.886638087
503167	2124497	0.883832796
503267	2124497	0.881052252
503367	2124497	0.878296965
503467	2124497	0.875567443
503567	2124497	0.872864189
503667	2124497	0.870187703
503767	2124497	0.867538481
503867	2124497	0.864917015
503967	2124497	0.862323793
504067	2124497	0.859759297
504167	2124497	0.857224005
504267	2124497	0.854718391
504367	2124497	0.852242921
504467	2124497	0.849798057
504567	2124497	0.847384255
504667	2124497	0.845001963
504767	2124497	0.842651625
504867	2124497	0.840333675
504967	2124497	0.838048544
505067	2124497	0.835796652
505167	2124497	0.833578414
505267	2124497	0.831394233
505367	2124497	0.829244509
505467	2124497	0.82712963
505567	2124497	0.825049976
505667	2124497	0.823005919
505767	2124497	0.820997821
505867	2124497	0.819026034
505967	2124497	0.817090901
506067	2124497	0.815192754
506167	2124497	0.813331917
506267	2124497	0.811508701
506367	2124497	0.809723408
506467	2124497	0.807976327
506567	2124497	0.80626774
502967	2124597	0.886379502
503067	2124597	0.883523944
503167	2124597	0.880692814
503267	2124597	0.877886634
503367	2124597	0.87510592
503467	2124597	0.872351189
503567	2124597	0.869622952
503667	2124597	0.866921718
503767	2124597	0.86424799
503867	2124597	0.861602268
503967	2124597	0.858985049
504067	2124597	0.856396824
504167	2124597	0.853838078
504267	2124597	0.851309293
504367	2124597	0.848810943
504467	2124597	0.8463435
504567	2124597	0.843907425
504667	2124597	0.841503176
504767	2124597	0.839131204
504867	2124597	0.836791953
504967	2124597	0.834485859
505067	2124597	0.832213351
505167	2124597	0.829974849
505267	2124597	0.827770768
505367	2124597	0.825601512
505467	2124597	0.823467476
505567	2124597	0.821369049
505667	2124597	0.819306609
505767	2124597	0.817280523
505867	2124597	0.815291151
505967	2124597	0.813338842
506067	2124597	0.811423934
506167	2124597	0.809546757
506267	2124597	0.807707627
506367	2124597	0.805906852
506467	2124597	0.804144727
502667	2124697	0.892079199
502767	2124697	0.889126671
502867	2124697	0.886197163
502967	2124697	0.883291211
503067	2124697	0.880409349
503167	2124697	0.87755211
503267	2124697	0.874720022
503367	2124697	0.871913612
503467	2124697	0.869133404
503567	2124697	0.866379918
503667	2124697	0.863653669
503767	2124697	0.860955171
503867	2124697	0.858284933
503967	2124697	0.855643458
504067	2124697	0.853031245
504167	2124697	0.85044879
504267	2124697	0.847896582
504367	2124697	0.845375104
504467	2124697	0.842884834
504567	2124697	0.840426244
504667	2124697	0.837999799
504767	2124697	0.835605959
504867	2124697	0.833245174
504967	2124697	0.83091789
505067	2124697	0.828624542
505167	2124697	0.826365561
505267	2124697	0.824141365
505367	2124697	0.821952369
505467	2124697	0.819798975
505567	2124697	0.817681577
505667	2124697	0.815600561
505767	2124697	0.813556302
505867	2124697	0.811549166
505967	2124697	0.809579508
506067	2124697	0.807647674
506167	2124697	0.805753996
506267	2124697	0.8038988
506367	2124697	0.802082397
506467	2124697	0.800305088
502367	2124797	0.8981442
502467	2124797	0.895098271
502567	2124797	0.892073889
502667	2124797	0.889071602
502767	2124797	0.886091959
502867	2124797	0.883135507
502967	2124797	0.880202789
503067	2124797	0.877294348
503167	2124797	0.874410724
503267	2124797	0.871552455
503367	2124797	0.868720076
503467	2124797	0.865914119
503567	2124797	0.863135112
503667	2124797	0.86038358
503767	2124797	0.857660045
503867	2124797	0.854965024
503967	2124797	0.852299029
504067	2124797	0.849662568
504167	2124797	0.847056145
504267	2124797	0.844480257
504367	2124797	0.841935397
504467	2124797	0.839422051
504567	2124797	0.836940699
504667	2124797	0.834491815
504767	2124797	0.832075867
504867	2124797	0.829693313
504967	2124797	0.827344608
505067	2124797	0.825030194
505167	2124797	0.82275051
505267	2124797	0.820505984
505367	2124797	0.818297036
505467	2124797	0.816124076
505567	2124797	0.813987507
505667	2124797	0.811887721
505767	2124797	0.8098251
505867	2124797	0.807800017
505967	2124797	0.805812834
506067	2124797	0.803863902
506167	2124797	0.801953562
506267	2124797	0.800082143
506367	2124797	0.798249963
506467	2124797	0.796457329
502267	2124897	0.898315401
502367	2124897	0.895220483
502467	2124897	0.892146698
502567	2124897	0.889094606
502667	2124897	0.886064764
502767	2124897	0.883057727
502867	2124897	0.880074051
502967	2124897	0.877114288
503067	2124897	0.874178989
503167	2124897	0.871268703
503267	2124897	0.868383975
503367	2124897	0.86552535
503467	2124897	0.862693368
503567	2124897	0.859888566
503667	2124897	0.857111478
503767	2124897	0.854362634
503867	2124897	0.85164256
503967	2124897	0.848951777
504067	2124897	0.846290803
504167	2124897	0.843660148
504267	2124897	0.841060321
504367	2124897	0.838491821
504467	2124897	0.835955144
504567	2124897	0.83345078
504667	2124897	0.830979209
504767	2124897	0.828540909
504867	2124897	0.826136347
504967	2124897	0.823765985
505067	2124897	0.821430275
505167	2124897	0.819129663
505267	2124897	0.816864585
505367	2124897	0.814635468
505467	2124897	0.812442733
505567	2124897	0.810286788
505667	2124897	0.808168033
505767	2124897	0.806086858
505867	2124897	0.804043642
505967	2124897	0.802038753
506067	2124897	0.800072552
506167	2124897	0.798145383
506267	2124897	0.796257582
506367	2124897	0.794409475
502167	2124997	0.898565525
502267	2124997	0.895421629
502367	2124997	0.892298437
502467	2124997	0.889196516
502567	2124997	0.886116432
502667	2124997	0.883058752
502767	2124997	0.880024039
502867	2124997	0.877012857
502967	2124997	0.874025766
503067	2124997	0.871063327
503167	2124997	0.868126096
503267	2124997	0.865214629
503367	2124997	0.862329477
