x	y	error_coe_com_tot
504667	2123497	3.068883856
504767	2123497	3.074053755
504867	2123497	3.079241669
504967	2123497	3.084447507
504067	2123597	3.030844523
504167	2123597	3.035916709
504267	2123597	3.04100747
504367	2123597	3.046116714
504467	2123597	3.051244345
504567	2123597	3.056390273
504667	2123597	3.061554403
504767	2123597	3.066736642
504867	2123597	3.071936899
504967	2123597	3.077155082
505067	2123597	3.082391098
505167	2123597	3.087644857
505267	2123597	3.092916267
503867	2123697	3.013337032
503967	2123697	3.018384135
504067	2123697	3.023450008
504167	2123697	3.028534556
504267	2123697	3.033637685
504367	2123697	3.038759301
504467	2123697	3.043899309
504567	2123697	3.049057616
504667	2123697	3.054234129
504767	2123697	3.059428754
504867	2123697	3.064641398
504967	2123697	3.06987197
505067	2123697	3.075120376
505167	2123697	3.080386526
505267	2123697	3.085670326
505367	2123697	3.090971687
505467	2123697	3.096290516
505567	2123697	3.101626724
503867	2123797	3.005926687
503967	2123797	3.010986188
504067	2123797	3.016064465
504167	2123797	3.021161423
504267	2123797	3.026276965
504367	2123797	3.031410999
504467	2123797	3.036563429
504567	2123797	3.041734161
504667	2123797	3.046923101
504767	2123797	3.052130156
504867	2123797	3.057355232
504967	2123797	3.062598237
505067	2123797	3.067859077
505167	2123797	3.07313766
505267	2123797	3.078433895
505367	2123797	3.083747689
505467	2123797	3.08907895
505567	2123797	3.094427589
505667	2123797	3.099793514
505767	2123797	3.105176634
503767	2123897	2.993472218
503867	2123897	2.998525287
503967	2123897	3.003597233
504067	2123897	3.008687961
504167	2123897	3.013797374
504267	2123897	3.018925377
504367	2123897	3.024071875
504467	2123897	3.029236772
504567	2123897	3.034419974
504667	2123897	3.039621387
504767	2123897	3.044840917
504867	2123897	3.050078469
504967	2123897	3.05533395
505067	2123897	3.060607268
505167	2123897	3.065898329
505267	2123897	3.07120704
505367	2123897	3.07653331
505467	2123897	3.081877047
505567	2123897	3.087238158
505667	2123897	3.092616554
505767	2123897	3.098012142
505867	2123897	3.103424834
505967	2123897	3.108854537
506067	2123897	3.114301162
506167	2123897	3.119764621
506267	2123897	3.125244823
506367	2123897	3.130741681
506467	2123897	3.136255104
506567	2123897	3.141785006
506667	2123897	3.147331299
506767	2123897	3.152893895
503667	2123997	2.981020767
503767	2123997	2.986067343
503867	2123997	2.991132898
503967	2123997	2.996217337
504067	2123997	3.001320562
504167	2123997	3.006442477
504267	2123997	3.011582987
504367	2123997	3.016741994
504467	2123997	3.021919405
504567	2123997	3.027115123
504667	2123997	3.032329054
504767	2123997	3.037561102
504867	2123997	3.042811175
504967	2123997	3.048079178
505067	2123997	3.053365017
505167	2123997	3.058668598
505267	2123997	3.06398983
505367	2123997	3.069328619
505467	2123997	3.074684873
505567	2123997	3.0800585
505667	2123997	3.085449408
505767	2123997	3.090857507
505867	2123997	3.096282704
505967	2123997	3.10172491
506067	2123997	3.107184034
506167	2123997	3.112659986
506267	2123997	3.118152677
506367	2123997	3.123662017
506467	2123997	3.129187918
506567	2123997	3.134730291
506667	2123997	3.140289047
506767	2123997	3.145864101
503567	2124097	2.968572374
503667	2124097	2.973612394
503767	2124097	2.978671498
503867	2124097	2.983749588
503967	2124097	2.988846566
504067	2124097	2.993962336
504167	2124097	2.9990968
504267	2124097	3.004249862
504367	2124097	3.009421426
504467	2124097	3.014611396
504567	2124097	3.019819675
504667	2124097	3.025046169
504767	2124097	3.030290782
504867	2124097	3.03555342
504967	2124097	3.040833988
505067	2124097	3.046132392
505167	2124097	3.051448538
505267	2124097	3.056782334
505367	2124097	3.062133685
505467	2124097	3.067502499
505567	2124097	3.072888683
505667	2124097	3.078292146
505767	2124097	3.083712796
505867	2124097	3.089150541
505967	2124097	3.094605291
506067	2124097	3.100076953
506167	2124097	3.10556544
506267	2124097	3.111070659
506367	2124097	3.116592522
506467	2124097	3.122130939
506567	2124097	3.127685822
506667	2124097	3.133257082
506767	2124097	3.138844631
503467	2124197	2.956127079
503567	2124197	2.96116048
503667	2124197	2.966213071
503767	2124197	2.971284751
503867	2124197	2.976375423
503967	2124197	2.981484989
504067	2124197	2.98661335
504167	2124197	2.99176041
504267	2124197	2.996926072
504367	2124197	3.002110238
504467	2124197	3.007312813
504567	2124197	3.012533699
504667	2124197	3.017772801
504767	2124197	3.023030023
504867	2124197	3.028305271
504967	2124197	3.033598449
505067	2124197	3.038909462
505167	2124197	3.044238217
505267	2124197	3.04958462
505367	2124197	3.054948576
505467	2124197	3.060329993
505567	2124197	3.065728778
505667	2124197	3.071144837
505767	2124197	3.07657808
505867	2124197	3.082028415
505967	2124197	3.087495749
506067	2124197	3.092979991
506167	2124197	3.098481052
506267	2124197	3.10399884
506367	2124197	3.109533265
506467	2124197	3.115084239
506567	2124197	3.120651671
506667	2124197	3.126235473
503367	2124297	2.943684922
503467	2124297	2.948711642
503567	2124297	2.953757656
503667	2124297	2.958822865
503767	2124297	2.96390717
503867	2124297	2.969010472
503967	2124297	2.974132673
504067	2124297	2.979273674
504167	2124297	2.984433377
504267	2124297	2.989611684
504367	2124297	2.994808499
504467	2124297	3.000023725
504567	2124297	3.005257263
504667	2124297	3.010509019
504767	2124297	3.015778896
504867	2124297	3.021066798
504967	2124297	3.026372631
505067	2124297	3.031696298
505167	2124297	3.037037705
505267	2124297	3.042396758
505367	2124297	3.047773362
505467	2124297	3.053167425
505567	2124297	3.058578852
505667	2124297	3.064007551
505767	2124297	3.069453429
505867	2124297	3.074916394
