x	y	esp
504667	2123497	37.8878324
504767	2123497	39.43003897
504867	2123497	40.94056029
504967	2123497	42.40793693
504067	2123597	72.0119478
504167	2123597	70.19554353
504267	2123597	33.20224228
504367	2123597	34.64463158
504467	2123597	36.23182974
504567	2123597	37.86732727
504667	2123597	39.47138129
504767	2123597	41.01524602
504867	2123597	42.50523461
504967	2123597	43.94085353
505067	2123597	45.33293428
505167	2123597	46.77618771
505267	2123597	48.22961891
503867	2123697	28.09121548
503967	2123697	29.76249739
504067	2123697	31.45593426
504167	2123697	33.12771621
504267	2123697	34.77499516
504367	2123697	36.37078492
504467	2123697	37.95629301
504567	2123697	39.55532826
504667	2123697	41.13116251
504767	2123697	42.6577677
504867	2123697	44.13151003
504967	2123697	45.5548262
505067	2123697	46.9470204
505167	2123697	48.350988
505267	2123697	49.75452319
505367	2123697	51.1452376
505467	2123697	52.58838448
505567	2123697	52.60379781
503867	2123797	29.67811564
503967	2123797	31.44043851
504067	2123797	33.17615488
504167	2123797	34.86784992
504267	2123797	36.50911191
504367	2123797	38.11452953
504467	2123797	39.70785443
504567	2123797	41.29400771
504667	2123797	42.85024116
504767	2123797	44.36005639
504867	2123797	45.81879748
504967	2123797	47.23144021
505067	2123797	48.61435795
505167	2123797	49.99003195
505267	2123797	51.36280643
505367	2123797	52.7360678
505467	2123797	54.10102075
505567	2123797	50.65060293
505667	2123797	46.49605265
505767	2123797	42.47377565
503767	2123897	29.35574443
503867	2123897	31.25908489
503967	2123897	33.098434
504067	2123897	34.88106496
504167	2123897	36.60431092
504267	2123897	38.26732867
504367	2123897	39.88454609
504467	2123897	41.48999518
504567	2123897	43.07201755
504667	2123897	44.61414933
504767	2123897	46.10783111
504867	2123897	47.55267365
504967	2123897	48.95347454
505067	2123897	50.32367297
505167	2123897	51.67922005
505267	2123897	53.03080636
505367	2123897	54.37103276
505467	2123897	53.16383788
505567	2123897	48.94707699
505667	2123897	44.73281327
505767	2123897	40.58918678
505867	2123897	36.47461252
505967	2123897	32.70854461
506067	2123897	29.30097078
506167	2123897	25.92262227
506267	2123897	22.54890794
506367	2123897	19.17514417
506467	2123897	15.80072262
506567	2123897	12.42395762
506667	2123897	9.042949488
506767	2123897	5.65107583
503667	2123997	28.97095291
503767	2123997	30.95885904
503867	2123997	32.9138723
503967	2123997	34.80598976
504067	2123997	36.63035011
504167	2123997	38.38364685
504267	2123997	40.06974666
504367	2123997	41.70425618
504467	2123997	43.3108602
504567	2123997	44.88258642
504667	2123997	46.40849488
504767	2123997	47.88568997
504867	2123997	49.31647414
504967	2123997	50.70578257
505067	2123997	52.06394957
505167	2123997	53.40453417
505267	2123997	54.73516486
505367	2123997	56.02416403
505467	2123997	51.75877056
505567	2123997	47.44772835
505667	2123997	43.17388712
505767	2123997	38.96583969
505867	2123997	34.84462692
505967	2123997	31.18246107
506067	2123997	27.70375676
506167	2123997	24.27106091
506267	2123997	20.85592962
506367	2123997	17.44636668
506467	2123997	14.03624532
506567	2123997	10.62101817
506667	2123997	7.190298084
506767	2123997	3.729513419
503567	2124097	28.67276185
503667	2124097	30.67728334
503767	2124097	32.68674879
503867	2124097	34.66493383
503967	2124097	36.58683318
504067	2124097	38.43665994
504167	2124097	40.21043872
504267	2124097	41.91298875
504367	2124097	43.55718351
504467	2124097	45.15582559
504567	2124097	46.70903461
504667	2124097	48.21618416
504767	2124097	49.67764158
504867	2124097	51.0957889
504967	2124097	52.47465352
505067	2124097	53.82359062
505167	2124097	55.15475598
505267	2124097	56.45889735
505367	2124097	54.86679772
505467	2124097	50.46991175
505567	2124097	46.09333386
505667	2124097	41.76251998
505767	2124097	37.50077915
505867	2124097	33.40268322
505967	2124097	29.75040293
506067	2124097	26.18687652
506167	2124097	22.677135
506267	2124097	19.19661603
506367	2124097	15.72805756
506467	2124097	12.26101253
506567	2124097	8.785055982
506667	2124097	5.287134463
506767	2124097	1.754040566
503467	2124197	28.41721047
503567	2124197	30.45805286
503667	2124197	32.49750201
503767	2124197	34.52169952
503867	2124197	36.51174719
503967	2124197	38.44513926
504067	2124197	40.30369319
504167	2124197	42.08374362
504267	2124197	43.78904393
504367	2124197	45.42661414
504467	2124197	47.00524674
504567	2124197	48.5351537
504667	2124197	50.02301286
504767	2124197	51.47051448
504867	2124197	52.87821338
504967	2124197	54.25001192
505067	2124197	55.59360465
505167	2124197	56.91471364
505267	2124197	58.16543125
505367	2124197	53.7256907
505467	2124197	49.26637834
505567	2124197	44.832254
505667	2124197	40.44367842
505767	2124197	36.12307628
505867	2124197	32.09873175
505967	2124197	28.37082464
506067	2124197	24.71974822
506167	2124197	21.12381969
506267	2124197	17.56297435
506367	2124197	14.01955937
506467	2124197	10.48044255
506567	2124197	6.93044028
506667	2124197	3.359194702
503367	2124297	28.19459776
503467	2124297	30.28274862
503567	2124297	32.36958734
503667	2124297	34.42960187
503767	2124297	36.45940645
503867	2124297	38.44963439
503967	2124297	40.38028305
504067	2124297	42.23355654
504167	2124297	44.00394747
504267	2124297	45.69242343
504367	2124297	47.30322809
504467	2124297	48.8491499
504567	2124297	50.3507446
504667	2124297	51.81958838
504767	2124297	53.25528373
504867	2124297	54.65578348
504967	2124297	56.02480397
505067	2124297	57.36809807
505167	2124297	58.67318429
505267	2124297	57.10398727
505367	2124297	52.61726961
505467	2124297	48.11322366
505567	2124297	43.6250067
505667	2124297	39.17516591
505767	2124297	34.78811876
505867	2124297	30.8212108
505967	2124297	27.01551271
506067	2124297	23.27657987
506167	2124297	19.59194445
506267	2124297	15.94455055
506367	2124297	12.31836188
506467	2124297	8.698111114
506567	2124297	5.069236426
506667	2124297	1.425574518
503267	2124397	28.05606334
503367	2124397	30.17582713
503467	2124397	32.31902203
503567	2124397	34.42628169
503667	2124397	36.48444802
503767	2124397	38.50029661
503867	2124397	40.47453592
503967	2124397	42.39279085
504067	2124397	44.22669418
504167	2124397	45.96839914
504267	2124397	47.619251
504367	2124397	49.18581762
504467	2124397	50.68519305
504567	2124397	52.15263472
504667	2124397	53.60274619
504767	2124397	55.02947244
504867	2124397	56.42591684
504967	2124397	57.79474204
505067	2124397	59.1372332
505167	2124397	60.41367057
505267	2124397	56.0571477
505367	2124397	51.53308341
505467	2124397	46.98562645
505567	2124397	42.44069242
505667	2124397	37.92540177
505767	2124397	33.49660503
505867	2124397	29.54870187
505967	2124397	25.66436375
506067	2124397	21.83991821
506167	2124397	18.0661076
506267	2124397	14.33127166
506367	2124397	10.61942243
506467	2124397	6.91527574
506567	2124397	3.207260579
503067	2124497	26.25179292
503167	2124497	28.13314179
503267	2124497	30.23061002
503367	2124497	32.40167242
503467	2124497	34.56054282
503567	2124497	36.65282395
503667	2124497	38.67261088
