x	y	abat_2007_2002
504667	2123497	2.051099003
504767	2123497	1.877454574
504867	2123497	1.678303628
504967	2123497	1.454773297
504067	2123597	2.655890781
504167	2123597	2.586333923
504267	2123597	2.488129165
504367	2123597	2.368596172
504467	2123597	2.231918242
504567	2123597	2.079584516
504667	2123597	1.911234257
504767	2123597	1.725828956
504867	2123597	1.522918853
504967	2123597	1.30347355
505067	2123597	1.069832227
505167	2123597	0.824852381
505267	2123597	0.570786408
503867	2123697	2.684417832
503967	2123697	2.68838025
504067	2123697	2.636660167
504167	2123697	2.544358198
504267	2123697	2.423390465
504367	2123697	2.28158231
504467	2123697	2.123503367
504567	2123697	1.9515366
504667	2123697	1.766908968
504767	2123697	1.570551529
504867	2123697	1.363433348
504967	2123697	1.146424823
505067	2123697	0.920404608
505167	2123697	0.686463188
505267	2123697	0.445555306
505367	2123697	0.197751404
505467	2123697	-0.058567707
505567	2123697	-0.327479802
503867	2123797	2.730132172
503967	2123797	2.707223789
504067	2123797	2.623465253
504167	2123797	2.501268669
504267	2123797	2.353816333
504367	2123797	2.188325579
504467	2123797	2.008841517
504567	2123797	1.817840784
504667	2123797	1.617394985
504767	2123797	1.410080299
504867	2123797	1.198525435
504967	2123797	0.983394968
505067	2123797	0.763871492
505167	2123797	0.539662287
505267	2123797	0.311073312
505367	2123797	0.078130888
505467	2123797	-0.160396175
505567	2123797	-0.408298608
505667	2123797	-0.674040118
505767	2123797	-0.972436464
503767	2123897	2.752393192
503867	2123897	2.801397481
503967	2123897	2.731948775
504067	2123897	2.605256297
504167	2123897	2.4496331
504267	2123897	2.275353661
504367	2123897	2.08708539
504467	2123897	1.887516933
504567	2123897	1.678595041
504667	2123897	1.462451787
504767	2123897	1.243174004
504867	2123897	1.027300188
504967	2123897	0.814675496
505067	2123897	0.60093026
505167	2123897	0.384855326
505267	2123897	0.166825855
505367	2123897	-0.052631166
505467	2123897	-0.273625468
505567	2123897	-0.498041266
505667	2123897	-0.732804471
505767	2123897	-1.000026891
505867	2123897	-1.338835113
505967	2123897	-1.741405289
506067	2123897	-2.169838641
506167	2123897	-2.607557846
506267	2123897	-3.049657529
506367	2123897	-3.494700124
506467	2123897	-3.941905352
506567	2123897	-4.389338097
506667	2123897	-4.830352469
506767	2123897	-5.24332929
503667	2123997	2.612348096
503767	2123997	2.856030543
503867	2123997	2.874497072
503967	2123997	2.730929454
504067	2123997	2.562774852
504167	2123997	2.379333532
504267	2123997	2.183105812
504367	2123997	1.975881203
504467	2123997	1.759298069
504567	2123997	1.534908979
504667	2123997	1.304265743
504767	2123997	1.070090647
504867	2123997	0.851166863
504967	2123997	0.642698161
505067	2123997	0.433107941
505167	2123997	0.222617102
505267	2123997	0.012125189
505367	2123997	-0.197377023
505467	2123997	-0.404945803
505567	2123997	-0.609910601
505667	2123997	-0.81268404
505767	2123997	-1.022980764
505867	2123997	-1.362324327
505967	2123997	-1.79097594
506067	2123997	-2.223328615
506167	2123997	-2.655513023
506267	2123997	-3.088601947
506367	2123997	-3.524491871
506467	2123997	-3.965238734
506567	2123997	-4.412631108
506667	2123997	-4.867279477
506767	2123997	-5.320398284
503567	2124097	2.307001118
503667	2124097	2.568061554
503767	2124097	2.785770084
503867	2124097	2.799034725
503967	2124097	2.65513727
504067	2124097	2.478098009
504167	2124097	2.283144779
504267	2124097	2.074233989
504367	2124097	1.853937371
504467	2124097	1.624624762
504567	2124097	1.388648109
504667	2124097	1.148453802
504767	2124097	0.9081384
504867	2124097	0.683816884
504967	2124097	0.472156438
505067	2124097	0.26251766
505167	2124097	0.054116397
505267	2124097	-0.152738455
505367	2124097	-0.357435609
505467	2124097	-0.559206475
505567	2124097	-0.757493804
505667	2124097	-0.953430086
505767	2124097	-1.161698488
505867	2124097	-1.482930028
505967	2124097	-1.887479864
506067	2124097	-2.298570573
506167	2124097	-2.70925852
506267	2124097	-3.120636716
506367	2124097	-3.535250936
506467	2124097	-3.955931477
506567	2124097	-4.38506631
506667	2124097	-4.822993493
506767	2124097	-5.256190945
503467	2124197	1.987767282
503567	2124197	2.236310735
503667	2124197	2.449098907
503767	2124197	2.590539913
503867	2124197	2.608363071
503967	2124197	2.512270815
504067	2124197	2.35442962
504167	2124197	2.163203145
504267	2124197	1.950492765
504367	2124197	1.722715869
504467	2124197	1.484598401
504567	2124197	1.240430521
504667	2124197	0.994741633
504767	2124197	0.753375419
504867	2124197	0.522934343
504967	2124197	0.303490915
505067	2124197	0.090509894
505167	2124197	-0.118754663
505267	2124197	-0.325565483
505367	2124197	-0.530507068
505467	2124197	-0.734058343
505567	2124197	-0.937852868
505667	2124197	-1.148248684
505767	2124197	-1.385124191
505867	2124197	-1.679986477
505967	2124197	-2.026793817
506067	2124197	-2.394410916
506167	2124197	-2.76825148
506267	2124197	-3.145243059
506367	2124197	-3.526346465
506467	2124197	-3.913384841
506567	2124197	-4.306819675
506667	2124197	-4.701862579
503367	2124297	1.692898145
503467	2124297	1.936086854
503567	2124297	2.149710135
503667	2124297	2.318101817
503767	2124297	2.41798713
503867	2124297	2.42880349
503967	2124297	2.353253154
