x;y
482367;2131498
482467;2131498
482567;2131498
482667;2131498
482767;2131498
482467;2131598
482567;2131598
482667;2131598
482767;2131598
482867;2131598
482467;2131698
482667;2131698
482767;2131698
482867;2131698
482967;2131698
482467;2131798
482567;2131798
482767;2131798
482867;2131798
482967;2131798
483067;2131798
482467;2131898
482567;2131898
482667;2131898
482867;2131898
482967;2131898
483067;2131898
482467;2131998
482567;2131998
482667;2131998
482767;2131998
482867;2131998
482967;2131998
483067;2131998
482567;2132098
482667;2132098
482767;2132098
482867;2132098
482967;2132098
483067;2132098
482567;2132198
482667;2132198
482767;2132198
482867;2132198
482967;2132198
483067;2132198
482667;2132298
482767;2132298
482867;2132298
482967;2132298
483067;2132298
482667;2132398
482767;2132398
482867;2132398
482967;2132398
483067;2132398
482767;2132498
482867;2132498
482967;2132498
483067;2132498
482767;2132598
482867;2132598
482967;2132598
483067;2132598
482767;2132698
482867;2132698
482967;2132698
483067;2132698
482767;2132798
482867;2132798
482967;2132798
483067;2132798
482867;2132898
482967;2132898
483067;2132898
482867;2132998
482967;2132998
483067;2132998
482867;2133098
482967;2133098
483067;2133098
482867;2133198
482967;2133198
483067;2133198
482867;2133298
482967;2133298
483067;2133298
482967;2133398
483067;2133398
482967;2133498
483067;2133498
482967;2138098
483067;2138098
482867;2138198
482967;2138198
483067;2138198
482867;2138298
482967;2138298
483067;2138298
481167;2138398
481267;2138398
482767;2138398
482867;2138398
482967;2138398
483067;2138398
480867;2138498
480967;2138498
481067;2138498
481167;2138498
481467;2138498
481567;2138498
481667;2138498
481767;2138498
481867;2138498
482667;2138498
482767;2138498
482867;2138498
482967;2138498
483067;2138498
480767;2138598
480867;2138598
480967;2138598
481067;2138598
481167;2138598
481267;2138598
481367;2138598
481467;2138598
481567;2138598
481667;2138598
481767;2138598
481867;2138598
481967;2138598
482067;2138598
482167;2138598
482267;2138598
482367;2138598
482467;2138598
482567;2138598
482667;2138598
482767;2138598
482867;2138598
482967;2138598
483067;2138598
480367;2138698
480467;2138698
480567;2138698
480667;2138698
480767;2138698
480867;2138698
480967;2138698
481067;2138698
481167;2138698
481267;2138698
481367;2138698
481467;2138698
481567;2138698
481667;2138698
481767;2138698
481867;2138698
481967;2138698
482067;2138698
482167;2138698
482267;2138698
482367;2138698
482467;2138698
482567;2138698
482667;2138698
482767;2138698
482867;2138698
482967;2138698
483067;2138698
480067;2138798
480167;2138798
480267;2138798
480367;2138798
480467;2138798
480567;2138798
480667;2138798
480767;2138798
480867;2138798
480967;2138798
481067;2138798
481167;2138798
481267;2138798
481367;2138798
481467;2138798
481567;2138798
481667;2138798
481767;2138798
481867;2138798
481967;2138798
482067;2138798
482167;2138798
482267;2138798
482367;2138798
482467;2138798
482567;2138798
482667;2138798
482767;2138798
482867;2138798
482967;2138798
483067;2138798
479967;2138898
480067;2138898
480167;2138898
480267;2138898
480367;2138898
480467;2138898
480567;2138898
480667;2138898
480767;2138898
480867;2138898
480967;2138898
481067;2138898
481167;2138898
481267;2138898
481367;2138898
481467;2138898
481567;2138898
481667;2138898
481767;2138898
481867;2138898
481967;2138898
482067;2138898
482167;2138898
482267;2138898
482367;2138898
482467;2138898
482567;2138898
482667;2138898
482767;2138898
482867;2138898
482967;2138898
483067;2138898
480067;2138998
480167;2138998
480267;2138998
480367;2138998
480467;2138998
480567;2138998
480667;2138998
480767;2138998
480867;2138998
480967;2138998
481067;2138998
481167;2138998
481267;2138998
481367;2138998
481467;2138998
481567;2138998
481667;2138998
481767;2138998
481867;2138998
481967;2138998
482067;2138998
482167;2138998
482267;2138998
482367;2138998
482467;2138998
482567;2138998
482667;2138998
482767;2138998
482867;2138998
482967;2138998
483067;2138998
480367;2139098
480467;2139098
480567;2139098
480667;2139098
480767;2139098
480867;2139098
480967;2139098
481067;2139098
481167;2139098
481267;2139098
481367;2139098
481467;2139098
481567;2139098
481667;2139098
481767;2139098
481867;2139098
481967;2139098
482067;2139098
482167;2139098
482267;2139098
482367;2139098
482467;2139098
482567;2139098
482667;2139098
482767;2139098
482867;2139098
482967;2139098
483067;2139098
480467;2139198
480567;2139198
480667;2139198
480767;2139198
480867;2139198
480967;2139198
481067;2139198
481167;2139198
481267;2139198
481367;2139198
481467;2139198
481567;2139198
481667;2139198
481767;2139198
481867;2139198
481967;2139198
482067;2139198
482167;2139198
482267;2139198
482367;2139198
482467;2139198
482567;2139198
482667;2139198
482767;2139198
482867;2139198
482967;2139198
483067;2139198
480367;2139298
480467;2139298
480567;2139298
480667;2139298
480767;2139298
480867;2139298
480967;2139298
481067;2139298
481167;2139298
481267;2139298
481367;2139298
481467;2139298
481567;2139298
481667;2139298
481767;2139298
481867;2139298
481967;2139298
482067;2139298
482167;2139298
482267;2139298
482367;2139298
482467;2139298
482567;2139298
482667;2139298
482767;2139298
482867;2139298
482967;2139298
483067;2139298
480267;2139398
480367;2139398
480467;2139398
480567;2139398
480667;2139398
480767;2139398
480867;2139398
480967;2139398
481067;2139398
481167;2139398
481267;2139398
481367;2139398
481467;2139398
481567;2139398
481667;2139398
481767;2139398
481867;2139398
481967;2139398
482067;2139398
482167;2139398
482267;2139398
482367;2139398
482467;2139398
482567;2139398
482667;2139398
482767;2139398
482867;2139398
482967;2139398
483067;2139398
480067;2139498
480167;2139498
480267;2139498
480367;2139498
480467;2139498
480567;2139498
480667;2139498
480767;2139498
480867;2139498
480967;2139498
481067;2139498
481167;2139498
481267;2139498
481367;2139498
481467;2139498
481567;2139498
481667;2139498
481767;2139498
481867;2139498
481967;2139498
482067;2139498
482167;2139498
482267;2139498
482367;2139498
482467;2139498
482567;2139498
482667;2139498
482767;2139498
482867;2139498
482967;2139498
483067;2139498
479967;2139598
480067;2139598
480167;2139598
480267;2139598
480367;2139598
480467;2139598
480567;2139598
480667;2139598
480767;2139598
480867;2139598
480967;2139598
481067;2139598
481167;2139598
481267;2139598
481367;2139598
481467;2139598
481567;2139598
481667;2139598
481767;2139598
481867;2139598
481967;2139598
482067;2139598
482167;2139598
482267;2139598
482367;2139598
482467;2139598
482567;2139598
482667;2139598
482767;2139598
482867;2139598
482967;2139598
483067;2139598
479867;2139698
479967;2139698
480067;2139698
480167;2139698
480267;2139698
480367;2139698
480467;2139698
480567;2139698
480667;2139698
480767;2139698
480867;2139698
480967;2139698
481067;2139698
481167;2139698
481267;2139698
481367;2139698
481467;2139698
481567;2139698
481667;2139698
481767;2139698
481867;2139698
481967;2139698
482067;2139698
482167;2139698
482267;2139698
482367;2139698
482467;2139698
482567;2139698
482667;2139698
482767;2139698
482867;2139698
482967;2139698
483067;2139698
479767;2139798
479867;2139798
479967;2139798
480067;2139798
480167;2139798
480267;2139798
480367;2139798
480467;2139798
480567;2139798
480667;2139798
480767;2139798
480867;2139798
480967;2139798
481067;2139798
481167;2139798
481267;2139798
481367;2139798
481467;2139798
481567;2139798
481667;2139798
481767;2139798
481867;2139798
481967;2139798
482067;2139798
482167;2139798
482267;2139798
482367;2139798
482467;2139798
482567;2139798
482667;2139798
482767;2139798
482867;2139798
482967;2139798
483067;2139798
479667;2139898
479767;2139898
479867;2139898
479967;2139898
480067;2139898
480167;2139898
480267;2139898
480367;2139898
480467;2139898
480567;2139898
480667;2139898
480767;2139898
480867;2139898
480967;2139898
481067;2139898
481167;2139898
481267;2139898
481367;2139898
481467;2139898
481567;2139898
481667;2139898
481767;2139898
481867;2139898
481967;2139898
482067;2139898
482167;2139898
482267;2139898
482367;2139898
482467;2139898
482567;2139898
482667;2139898
482767;2139898
482867;2139898
482967;2139898
483067;2139898
479567;2139998
479667;2139998
479767;2139998
479867;2139998
479967;2139998
480067;2139998
480167;2139998
480267;2139998
480367;2139998
480467;2139998
480567;2139998
480667;2139998
480767;2139998
480867;2139998
480967;2139998
481067;2139998
481167;2139998
481267;2139998
481367;2139998
481467;2139998
481567;2139998
481667;2139998
481767;2139998
481867;2139998
481967;2139998
482067;2139998
482167;2139998
482267;2139998
482367;2139998
482467;2139998
482567;2139998
482667;2139998
482767;2139998
482867;2139998
482967;2139998
483067;2139998
479367;2140098
479467;2140098
479567;2140098
479667;2140098
479767;2140098
479867;2140098
479967;2140098
480067;2140098
480167;2140098
480267;2140098
480367;2140098
480467;2140098
480567;2140098
480667;2140098
480767;2140098
480867;2140098
480967;2140098
481067;2140098
481167;2140098
481267;2140098
481367;2140098
481467;2140098
481567;2140098
481667;2140098
481767;2140098
481867;2140098
481967;2140098
482067;2140098
482167;2140098
482267;2140098
482367;2140098
482467;2140098
482567;2140098
482667;2140098
482767;2140098
482867;2140098
482967;2140098
483067;2140098
479367;2140198
479467;2140198
479567;2140198
479667;2140198
479767;2140198
479867;2140198
479967;2140198
480067;2140198
480167;2140198
480267;2140198
480367;2140198
480467;2140198
480567;2140198
480667;2140198
480767;2140198
480867;2140198
480967;2140198
481067;2140198
481167;2140198
481267;2140198
481367;2140198
481467;2140198
481567;2140198
481667;2140198
481767;2140198
481867;2140198
481967;2140198
482067;2140198
482167;2140198
482267;2140198
482367;2140198
482467;2140198
482567;2140198
482667;2140198
482767;2140198
482867;2140198
482967;2140198
483067;2140198
479567;2140298
479667;2140298
479767;2140298
479867;2140298
479967;2140298
480067;2140298
480167;2140298
480267;2140298
480367;2140298
480467;2140298
480567;2140298
480667;2140298
480767;2140298
480867;2140298
