x	y	tasa_hundim
504667	2123497	-0.0330749
504767	2123497	-0.0393343
504867	2123497	-0.045313
504967	2123497	-0.0434227
504067	2123597	-0.0405867
504167	2123597	-0.0399494
504267	2123597	-0.0402958
504367	2123597	-0.0411315
504467	2123597	-0.0505653
504567	2123597	-0.0449703
504667	2123597	-0.0438924
504767	2123597	-0.0490622
504867	2123597	-0.0501294
504967	2123597	-0.0590767
505067	2123597	-0.0532533
505167	2123597	-0.0566753
505267	2123597	-0.0529382
503867	2123697	-0.0486329
503967	2123697	-0.0452611
504067	2123697	-0.0449451
504167	2123697	-0.0453956
504267	2123697	-0.0456226
504367	2123697	-0.052576
504467	2123697	-0.0562309
504567	2123697	-0.0510063
504667	2123697	-0.0586618
504767	2123697	-0.0750909
504867	2123697	-0.0717491
504967	2123697	-0.0713997
505067	2123697	-0.0695085
505167	2123697	-0.0665874
505267	2123697	-0.061535
505367	2123697	-0.0559018
505467	2123697	-0.0564599
505567	2123697	-0.0550541
503867	2123797	-0.0683571
503967	2123797	-0.0655169
504067	2123797	-0.0562751
504167	2123797	-0.048339
504267	2123797	-0.0460037
504367	2123797	-0.0526433
504467	2123797	-0.0635711
504567	2123797	-0.0543207
504667	2123797	-0.0634877
504767	2123797	-0.0718307
504867	2123797	-0.0705292
504967	2123797	-0.07669
505067	2123797	-0.0760179
505167	2123797	-0.0746512
505267	2123797	-0.0665134
505367	2123797	-0.0633917
505467	2123797	-0.0572089
505567	2123797	-0.070441
505667	2123797	-0.0638599
505767	2123797	-0.0521011
503767	2123897	-0.0688688
503867	2123897	-0.0821426
503967	2123897	-0.0758251
504067	2123897	-0.059768
504167	2123897	-0.0551118
504267	2123897	-0.0506816
504367	2123897	-0.0527453
504467	2123897	-0.0574618
504567	2123897	-0.0620402
504667	2123897	-0.0759787
504767	2123897	-0.0756308
504867	2123897	-0.0780608
504967	2123897	-0.0769202
505067	2123897	-0.0808535
505167	2123897	-0.0742485
505267	2123897	-0.0759613
505367	2123897	-0.0646071
505467	2123897	-0.0705885
505567	2123897	-0.0767238
505667	2123897	-0.074339
505767	2123897	-0.0649208
505867	2123897	-0.070044
505967	2123897	-0.0620514
506067	2123897	-0.0418099
506167	2123897	-0.0545923
506267	2123897	-0.0595086
506367	2123897	-0.0551586
506467	2123897	-0.0670441
506567	2123897	-0.08659
506667	2123897	-0.0902698
506767	2123897	-0.0894379
503667	2123997	-0.0608729
503767	2123997	-0.0713512
503867	2123997	-0.0756103
503967	2123997	-0.0826453
504067	2123997	-0.0753201
504167	2123997	-0.0581222
504267	2123997	-0.0598883
504367	2123997	-0.0666238
504467	2123997	-0.0793271
504567	2123997	-0.0631572
504667	2123997	-0.0722579
504767	2123997	-0.0959663
504867	2123997	-0.0907723
504967	2123997	-0.0921953
505067	2123997	-0.0897442
505167	2123997	-0.0846739
505267	2123997	-0.0824597
505367	2123997	-0.0766459
505467	2123997	-0.0760636
505567	2123997	-0.0676418
505667	2123997	-0.0673743
505767	2123997	-0.0644701
505867	2123997	-0.0679777
505967	2123997	-0.0646145
506067	2123997	-0.0522271
506167	2123997	-0.0665671
506267	2123997	-0.0772544
506367	2123997	-0.0889532
506467	2123997	-0.0859147
506567	2123997	-0.1248789
506667	2123997	-0.1286449
506767	2123997	-0.119756
503567	2124097	-0.0510651
503667	2124097	-0.053625
503767	2124097	-0.0686342
503867	2124097	-0.0742921
503967	2124097	-0.0821609
504067	2124097	-0.0868488
504167	2124097	-0.070565
504267	2124097	-0.0659695
504367	2124097	-0.0797194
504467	2124097	-0.0887419
504567	2124097	-0.0563907
504667	2124097	-0.0614621
504767	2124097	-0.0842462
504867	2124097	-0.1021223
504967	2124097	-0.1260321
